车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京,2026-08-01,08:40,2026-08-01,08:40,,0,37.4,27.1,0.6,0.6,0.0,2.0,10.1,29.2,63.0,64.0,51,小毛毛雨
G339,北京西,2026-08-01,08:54,2026-08-01,09:05,0.0,9,37.4,27.1,0.6,0.6,0.0,2.0,10.1,29.2,63.0,64.0,51,小毛毛雨
G339,郑州东,2026-08-01,11:16,2026-08-01,11:19,0.0,693,33.5,27.0,6.1,6.1,0.0,7.0,11.7,30.2,87.0,81.0,63,中雨
G339,武汉,2026-08-01,12:53,,,-3.0,1229,35.3,27.8,0.2,0.2,0.0,2.0,16.1,41.8,73.0,64.0,51,小毛毛雨
