车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-04,14:04,2026-08-04,14:04,0.0,0.0,37.0,27.0,2.3,2.3,0.0,6.0,14.1,38.5,74.0,67.0,55,浓毛毛雨
G80,南京南,2026-08-04,15:05,2026-08-04,15:10,-3.0,295.0,37.3,27.7,0.0,0.0,0.0,0.0,15.4,39.2,31.0,58.0,3,阴
G81,徐州东,2026-08-04,16:19,2026-08-04,16:21,,626.0,37.2,28.6,0.0,0.0,0.0,0.0,14.2,39.2,0.0,59.0,0,晴
G81,商丘,2026-08-04,17:05,2026-08-04,17:07,0.0,796.0,38.0,27.9,0.0,0.0,0.0,0.0,14.2,36.0,37.0,60.0,3,阴
G81,开封北,2026-08-04,17:41,2026-08-04,17:43,-1.0,934.0,34.4,25.0,9.3,9.3,0.0,8.0,13.7,50.0,68.0,83.0,65,大雨
G81,郑州东,2026-08-04,18:04,,,-2.0,986.0,33.1,25.1,9.9,9.9,0.0,7.0,10.8,38.2,63.0,83.0,63,中雨
G3726,广州,2026-08-04,08:42,2026-08-04,08:42,0.0,0.0,30.5,24.6,10.2,10.2,0.0,18.0,8.9,29.9,96.0,90.0,63,中雨
G3726,佛山西,2026-08-04,09:04,2026-08-04,09:16,0.0,26.0,30.0,25.0,29.8,29.8,0.0,21.0,9.7,33.5,94.0,92.0,65,大雨
G3726,肇庆东,2026-08-04,09:35,2026-08-04,09:37,0.0,69.0,30.8,25.1,9.0,9.0,0.0,13.0,12.5,26.6,94.0,92.0,61,小雨
G3726,贺州,2026-08-04,10:24,2026-08-04,10:26,0.0,254.0,31.3,25.3,12.2,12.2,0.0,13.0,10.3,23.8,93.0,83.0,63,中雨
G3726,阳朔,2026-08-04,10:58,2026-08-04,11:04,0.0,372.0,30.6,24.8,20.9,20.9,0.0,15.0,7.6,23.0,95.0,91.0,63,中雨
G3726,桂林西,2026-08-04,11:24,2026-08-04,11:28,0.0,437.0,31.2,24.0,21.6,21.6,0.0,23.0,10.2,24.8,95.0,89.0,63,中雨
G3726,都匀东,2026-08-04,12:43,2026-08-04,12:48,,734.0,28.3,23.7,15.8,15.8,0.0,23.0,6.6,19.8,98.0,94.0,63,中雨
G3726,贵阳东,2026-08-04,13:23,2026-08-04,13:31,0.0,850.0,27.6,18.8,0.1,0.1,0.0,1.0,14.9,33.5,73.0,72.0,51,小毛毛雨
G3726,遵义,2026-08-04,14:18,2026-08-04,14:20,0.0,973.0,28.6,20.7,1.3,1.3,0.0,7.0,15.0,31.7,61.0,73.0,51,小毛毛雨
G3726,娄山关南,2026-08-04,14:34,2026-08-04,14:36,1.0,1003.0,27.6,20.4,4.2,4.2,0.0,16.0,15.7,36.7,66.0,83.0,53,毛毛雨
G3726,重庆西,2026-08-04,15:43,2026-08-04,15:52,1.0,1194.0,31.3,23.6,1.7,1.7,0.0,10.0,9.0,23.8,23.0,77.0,51,小毛毛雨
G3726,重庆北,2026-08-04,16:17,2026-08-04,16:22,-2.0,1224.0,31.3,23.6,1.7,1.7,0.0,10.0,9.0,23.8,23.0,77.0,51,小毛毛雨
G3726,梁平南,2026-08-04,17:14,2026-08-04,17:19,0.0,1404.0,28.3,22.4,15.7,15.7,0.0,20.0,9.6,27.0,61.0,90.0,63,中雨
G3726,万州北,2026-08-04,17:40,2026-08-04,17:44,,1469.0,29.9,23.8,127.5,127.5,0.0,18.0,7.9,20.5,74.0,85.0,65,大雨
