车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-26,14:04,2026-08-26,14:04,1.0,0.0,33.8,25.7,0.1,0.1,0.0,1.0,13.0,35.6,8.0,75.0,51,小毛毛雨
G80,南京南,2026-08-26,15:05,2026-08-26,15:10,5.0,295.0,33.8,25.4,0.0,0.0,0.0,0.0,12.6,29.2,4.0,77.0,0,晴
G81,徐州东,2026-08-26,16:19,2026-08-26,16:21,,626.0,33.0,25.2,0.0,0.0,0.0,0.0,9.5,21.6,34.0,78.0,3,阴
G81,商丘,2026-08-26,17:05,2026-08-26,17:07,7.0,796.0,33.2,25.2,0.0,0.0,0.0,0.0,10.9,23.8,33.0,78.0,3,阴
G81,开封北,2026-08-26,17:41,2026-08-26,17:43,4.0,934.0,34.3,26.5,1.1,1.1,0.0,6.0,11.5,26.6,21.0,68.0,51,小毛毛雨
G81,郑州东,2026-08-26,18:04,,,4.0,986.0,33.4,25.4,0.1,0.1,0.0,1.0,15.8,36.7,46.0,77.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-26,08:42,2026-08-26,08:42,0.0,0.0,30.2,26.2,11.8,11.8,0.0,17.0,14.2,39.6,96.0,84.0,63,中雨
G3726,佛山西,2026-08-26,09:04,2026-08-26,09:16,0.0,26.0,10.8,1.3,11.1,11.1,0.0,9.0,6.2,26.6,84.0,88.0,63,中雨
G3726,肇庆东,2026-08-26,09:35,2026-08-26,09:37,0.0,69.0,30.3,26.1,13.0,13.0,0.0,19.0,12.8,32.0,99.0,89.0,63,中雨
G3726,贺州,2026-08-26,10:24,2026-08-26,10:26,0.0,254.0,30.6,25.7,3.0,3.0,0.0,14.0,10.1,25.6,87.0,89.0,51,小毛毛雨
G3726,阳朔,2026-08-26,10:58,2026-08-26,11:04,0.0,372.0,31.6,25.5,4.8,4.8,0.0,15.0,10.5,25.6,80.0,88.0,53,毛毛雨
G3726,桂林西,2026-08-26,11:24,2026-08-26,11:28,0.0,437.0,35.7,25.2,0.0,0.0,0.0,0.0,13.4,29.9,10.0,67.0,3,阴
G3726,都匀东,2026-08-26,12:43,2026-08-26,12:48,,734.0,29.2,23.2,2.7,2.7,0.0,13.0,13.0,30.2,54.0,88.0,53,毛毛雨
G3726,贵阳东,2026-08-26,13:23,2026-08-26,13:31,0.0,850.0,29.2,20.6,2.2,2.2,0.0,11.0,15.3,37.1,38.0,79.0,53,毛毛雨
G3726,遵义,2026-08-26,14:18,2026-08-26,14:20,0.0,973.0,30.0,21.3,2.6,2.6,0.0,8.0,14.6,29.9,20.0,80.0,61,小雨
G3726,娄山关南,2026-08-26,14:34,2026-08-26,14:36,0.0,1003.0,30.3,21.0,1.7,1.7,0.0,9.0,12.5,28.4,26.0,82.0,51,小毛毛雨
G3726,重庆西,2026-08-26,15:43,2026-08-26,15:52,1.0,1194.0,36.1,27.3,0.9,0.9,0.0,2.0,10.1,34.2,10.0,69.0,53,毛毛雨
G3726,重庆北,2026-08-26,16:17,2026-08-26,16:22,-1.0,1224.0,36.1,27.3,0.9,0.9,0.0,2.0,10.1,34.2,10.0,69.0,53,毛毛雨
G3726,梁平南,2026-08-26,17:14,2026-08-26,17:19,0.0,1404.0,36.0,25.8,1.2,1.2,0.0,9.0,7.1,18.4,16.0,60.0,51,小毛毛雨
G3726,万州北,2026-08-26,17:40,2026-08-26,17:44,,1469.0,38.6,28.5,0.0,0.0,0.0,0.0,6.6,21.2,10.0,57.0,1,晴间多云
G3726,云阳,2026-08-26,17:57,2026-08-26,17:59,0.0,1507.0,32.6,24.9,0.0,0.0,0.0,0.0,13.0,28.4,7.0,81.0,1,晴间多云
G3726,巫山,2026-08-26,18:33,,,0.0,1622.0,38.9,27.8,0.6,0.6,0.0,3.0,4.8,17.3,15.0,59.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
G1,北京南,2026-08-26,06:30,2026-08-26,06:30,0.0,0.0,27.1,21.7,7.3,7.3,0.0,10.0,11.4,25.9,85.0,79.0,55,浓毛毛雨
G1,沧州西,2026-08-26,07:18,2026-08-26,07:20,0.0,210.0,30.6,24.4,20.0,20.0,0.0,24.0,9.2,24.1,93.0,93.0,63,中雨
G1,德州东,2026-08-26,07:45,2026-08-26,07:47,11.0,314.0,31.3,20.9,2.3,2.3,0.0,9.0,5.7,21.2,48.0,70.0,53,毛毛雨
G1,曲阜东,2026-08-26,08:34,2026-08-26,08:36,,527.0,34.0,25.0,0.2,0.2,0.0,2.0,9.8,20.5,51.0,71.0,51,小毛毛雨
