车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-28,14:04,2026-08-28,14:04,0.0,0.0,31.5,27.3,6.3,6.3,0.0,15.0,20.8,55.4,34.0,78.0,63,中雨
G80,南京南,2026-08-28,15:05,2026-08-28,15:10,-3.0,295.0,32.7,26.0,1.4,1.4,0.0,4.0,20.4,46.8,44.0,79.0,53,毛毛雨
G81,徐州东,2026-08-28,16:19,2026-08-28,16:21,,626.0,30.8,24.2,3.0,3.0,0.0,11.0,15.8,33.1,50.0,83.0,53,毛毛雨
G81,商丘,2026-08-28,17:05,2026-08-28,17:07,2.0,796.0,29.3,21.6,0.0,0.0,0.0,0.0,19.6,44.3,66.0,80.0,3,阴
G81,开封北,2026-08-28,17:41,2026-08-28,17:43,0.0,934.0,34.7,25.6,1.2,1.2,0.0,3.0,24.8,51.1,51.0,61.0,53,毛毛雨
G81,郑州东,2026-08-28,18:04,,,0.0,986.0,24.9,20.8,0.0,0.0,0.0,0.0,13.5,34.6,85.0,78.0,3,阴
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-28,08:42,2026-08-28,08:42,0.0,0.0,31.3,25.7,29.8,29.8,0.0,20.0,11.1,25.2,92.0,89.0,63,中雨
G3726,佛山西,2026-08-28,09:04,2026-08-28,09:16,0.0,26.0,8.3,1.4,6.9,6.9,0.0,8.0,10.5,32.0,73.0,90.0,61,小雨
G3726,肇庆东,2026-08-28,09:35,2026-08-28,09:37,-1.0,69.0,32.3,26.2,18.0,18.0,0.0,20.0,9.6,23.8,94.0,90.0,63,中雨
G3726,贺州,2026-08-28,10:24,2026-08-28,10:26,0.0,254.0,31.1,24.8,60.7,60.7,0.0,20.0,5.3,17.6,85.0,90.0,65,大雨
G3726,阳朔,2026-08-28,10:58,2026-08-28,11:04,1.0,372.0,31.7,24.8,37.1,37.1,0.0,21.0,7.2,24.1,94.0,92.0,65,大雨
G3726,桂林西,2026-08-28,11:24,2026-08-28,11:28,1.0,437.0,31.8,26.2,0.0,0.0,0.0,0.0,23.8,54.4,58.0,73.0,3,阴
G3726,都匀东,2026-08-28,12:43,2026-08-28,12:48,,734.0,31.5,23.9,2.2,2.2,0.0,12.0,15.7,34.6,57.0,82.0,53,毛毛雨
G3726,贵阳东,2026-08-28,13:23,2026-08-28,13:31,0.0,850.0,26.9,19.9,1.5,1.5,0.0,8.0,11.4,25.2,71.0,86.0,53,毛毛雨
G3726,遵义,2026-08-28,14:18,2026-08-28,14:20,0.0,973.0,28.5,21.1,8.6,8.6,0.0,15.0,8.6,25.9,64.0,85.0,63,中雨
G3726,娄山关南,2026-08-28,14:34,2026-08-28,14:36,0.0,1003.0,29.2,21.3,5.3,5.3,0.0,14.0,9.8,22.0,57.0,87.0,53,毛毛雨
G3726,重庆西,2026-08-28,15:43,2026-08-28,15:52,0.0,1194.0,34.9,25.9,17.6,17.6,0.0,12.0,10.1,28.4,54.0,76.0,63,中雨
G3726,重庆北,2026-08-28,16:17,2026-08-28,16:22,0.0,1224.0,34.9,25.9,17.6,17.6,0.0,12.0,10.1,28.4,54.0,76.0,63,中雨
G3726,梁平南,2026-08-28,17:14,2026-08-28,17:19,0.0,1404.0,36.5,26.6,1.4,1.4,0.0,8.0,6.5,18.4,25.0,63.0,51,小毛毛雨
G3726,万州北,2026-08-28,17:40,2026-08-28,17:44,,1469.0,38.7,28.7,0.9,0.9,0.0,4.0,6.5,20.9,14.0,58.0,53,毛毛雨
G3726,云阳,2026-08-28,17:57,2026-08-28,17:59,0.0,1507.0,32.0,26.1,4.7,4.7,0.0,9.0,21.9,42.1,45.0,86.0,61,小雨
G3726,巫山,2026-08-28,18:33,,,0.0,1622.0,38.9,28.6,0.1,0.1,0.0,1.0,6.4,19.8,19.0,55.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
G1,北京南,2026-08-28,06:30,2026-08-28,06:30,0.0,0.0,23.4,18.8,7.5,7.5,0.0,12.0,6.7,16.9,99.0,83.0,61,小雨
G1,沧州西,2026-08-28,07:18,2026-08-28,07:20,-3.0,210.0,32.7,23.4,27.2,27.2,0.0,10.0,17.0,42.8,99.0,86.0,63,中雨
G1,德州东,2026-08-28,07:45,2026-08-28,07:47,0.0,314.0,29.3,21.1,5.1,5.1,0.0,10.0,6.0,24.1,25.0,71.0,63,中雨
G1,曲阜东,2026-08-28,08:34,2026-08-28,08:36,,527.0,30.3,22.6,0.2,0.2,0.0,2.0,20.0,40.3,63.0,80.0,51,小毛毛雨
G1,南京南,2026-08-28,10:13,2026-08-28,10:15,0.0,1015.0,32.7,26.0,1.4,1.4,0.0,4.0,20.4,46.8,44.0,79.0,53,毛毛雨
G1,苏州北,2026-08-28,10:59,2026-08-28,11:01,0.0,1229.0,31.8,27.0,6.4,6.4,0.0,11.0,21.0,54.7,34.0,79.0,61,小雨
G1,上海虹桥,2026-08-28,11:24,,,-1.0,1310.0,31.5,27.3,6.3,6.3,0.0,15.0,20.8,55.4,34.0,78.0,63,中雨
,,,,,,,,,,,,,,,,,,,
D1,北京西,2026-08-28,17:58,2026-08-28,17:58,0.0,0.0,23.4,18.8,7.5,7.5,0.0,12.0,6.7,16.9,99.0,83.0,61,小雨
D1,石家庄,2026-08-28,20:24,2026-08-28,20:30,0.0,281.0,21.3,17.5,10.2,10.2,0.0,9.0,12.1,25.9,95.0,82.0,63,中雨
D1,郑州,2026-08-28,23:59,2026-08-29,00:05,-5.0,707.0,24.9,20.8,0.0,0.0,0.0,0.0,13.5,34.6,85.0,78.0,3,阴
D1,武昌,2026-08-29,04:44,2026-08-29,04:50,-18.0,1243.0,27.2,23.2,66.6,66.6,0.0,18.0,12.8,30.6,75.0,93.0,65,大雨
D1,岳阳,2026-08-29,06:47,2026-08-29,06:51,-9.0,1458.0,28.7,25.3,4.4,4.4,0.0,9.0,27.7,59.0,95.0,80.0,61,小雨
D1,长沙,2026-08-29,08:16,,,-12.0,1605.0,29.7,27.3,12.1,12.1,0.0,9.0,10.0,31.3,77.0,84.0,63,中雨
,,,,,,,,,,,,,,,,,,,
