车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-11,14:04,2026-08-11,14:04,0.0,0.0,27.9,26.1,17.2,17.2,0.0,24.0,23.7,52.2,99.0,90.0,61,小雨
G80,南京南,2026-08-11,15:05,2026-08-11,15:10,-2.0,295.0,26.8,25.3,31.4,31.4,0.0,24.0,27.2,60.8,100.0,94.0,63,中雨
G81,徐州东,2026-08-11,16:19,2026-08-11,16:21,,626.0,27.0,24.4,36.0,36.0,0.0,24.0,24.2,51.1,100.0,94.0,63,中雨
G81,商丘,2026-08-11,17:05,2026-08-11,17:07,2.0,796.0,26.3,24.8,35.9,35.9,0.0,24.0,24.9,51.8,100.0,93.0,63,中雨
G81,开封北,2026-08-11,17:41,2026-08-11,17:43,2.0,934.0,35.1,25.5,1.8,1.8,0.0,7.0,14.7,31.0,28.0,71.0,53,毛毛雨
G81,郑州东,2026-08-11,18:04,,,3.0,986.0,26.8,23.4,19.1,19.1,0.0,24.0,24.0,52.6,100.0,89.0,63,中雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-11,08:42,2026-08-11,08:42,,0.0,35.7,27.9,0.1,0.1,0.0,1.0,11.9,27.0,69.0,61.0,51,小毛毛雨
G3726,佛山西,2026-08-11,09:04,2026-08-11,09:16,0.0,26.0,11.4,-0.4,9.9,9.9,0.0,12.0,6.0,36.0,44.0,81.0,61,小雨
G3726,肇庆东,2026-08-11,09:35,2026-08-11,09:37,0.0,69.0,35.6,27.1,0.3,0.3,0.0,3.0,8.4,22.0,55.0,70.0,51,小毛毛雨
G3726,贺州,2026-08-11,10:24,2026-08-11,10:26,0.0,254.0,33.9,24.5,0.3,0.3,0.0,3.0,7.9,22.0,72.0,69.0,51,小毛毛雨
