车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-09-03,14:04,2026-09-03,14:04,0.0,0,30.9,24.6,3.2,3.2,0.0,16.0,17.9,43.6,81.0,81.0,53,毛毛雨
G80,南京南,2026-09-03,15:05,2026-09-03,15:10,-3.0,295,27.5,23.1,7.8,7.8,0.0,15.0,22.6,52.6,99.0,85.0,61,小雨
G81,徐州东,2026-09-03,16:19,2026-09-03,16:21,,626,29.3,20.8,0.0,0.0,0.0,0.0,14.2,38.2,36.0,56.0,3,阴
G81,商丘,2026-09-03,17:05,2026-09-03,17:07,0.0,796,30.4,20.0,0.0,0.0,0.0,0.0,15.3,37.4,2.0,47.0,1,晴间多云
G81,开封北,2026-09-03,17:41,2026-09-03,17:43,1.0,934,28.8,20.0,0.0,0.0,0.0,0.0,16.2,41.4,0.0,46.0,0,晴
G81,郑州东,2026-09-03,18:04,,,-1.0,986,28.8,20.1,0.0,0.0,0.0,0.0,15.5,42.5,1.0,46.0,0,晴
G3726,广州,2026-09-03,08:42,2026-09-03,08:42,0.0,0,30.6,23.8,0.0,0.0,0.0,0.0,17.8,43.2,98.0,71.0,3,阴
G3726,佛山西,2026-09-03,09:04,2026-09-03,09:16,0.0,26,29.9,24.1,0.0,0.0,0.0,0.0,17.8,48.2,98.0,70.0,3,阴
G3726,肇庆东,2026-09-03,09:35,2026-09-03,09:37,0.0,69,30.7,23.7,0.0,0.0,0.0,0.0,14.7,33.5,87.0,68.0,3,阴
G3726,贺州,2026-09-03,10:24,2026-09-03,10:26,0.0,254,26.4,21.8,1.5,1.5,0.0,4.0,13.0,31.7,88.0,74.0,53,毛毛雨
G3726,阳朔,2026-09-03,10:58,2026-09-03,11:04,0.0,372,24.6,21.4,0.2,0.2,0.0,2.0,21.9,61.9,82.0,75.0,51,小毛毛雨
G3726,桂林西,2026-09-03,11:24,2026-09-03,11:28,0.0,437,26.3,20.3,7.4,7.4,0.0,7.0,16.8,36.4,88.0,75.0,61,小雨
G3726,都匀东,2026-09-03,12:43,2026-09-03,12:48,,734,20.3,18.4,8.2,8.2,0.0,21.0,12.4,25.6,100.0,94.0,55,浓毛毛雨
G3726,贵阳东,2026-09-03,13:23,2026-09-03,13:31,0.0,850,26.4,16.8,0.0,0.0,0.0,0.0,17.3,39.2,63.0,64.0,3,阴
G3726,遵义,2026-09-03,14:18,2026-09-03,14:20,0.0,973,23.7,16.8,1.0,1.0,0.0,2.0,11.2,23.8,72.0,73.0,53,毛毛雨
G3726,娄山关南,2026-09-03,14:34,2026-09-03,14:36,0.0,1003,27.6,16.3,0.3,0.3,0.0,1.0,14.0,30.6,64.0,69.0,51,小毛毛雨
G3726,重庆西,2026-09-03,15:43,2026-09-03,15:52,0.0,1194,32.6,22.8,0.0,0.0,0.0,0.0,4.9,19.1,8.0,59.0,2,多云
G3726,重庆北,2026-09-03,16:17,2026-09-03,16:22,-4.0,1224,32.6,22.8,0.0,0.0,0.0,0.0,4.9,19.1,8.0,59.0,2,多云
G3726,梁平南,2026-09-03,17:14,2026-09-03,17:19,0.0,1404,33.8,22.1,0.0,0.0,0.0,0.0,11.7,24.5,25.0,44.0,3,阴
G3726,万州北,2026-09-03,17:40,2026-09-03,17:44,,1469,34.6,24.5,0.0,0.0,0.0,0.0,11.7,31.3,12.0,45.0,1,晴间多云
G3726,云阳,2026-09-03,17:57,2026-09-03,17:59,0.0,1507,28.1,23.4,6.5,6.5,0.0,16.0,25.7,51.8,97.0,87.0,55,浓毛毛雨
G3726,巫山,2026-09-03,18:33,,,0.0,1622,34.7,23.7,0.0,0.0,0.0,0.0,11.9,28.4,8.0,42.0,1,晴间多云
G1,北京南,2026-09-03,06:30,2026-09-03,06:30,0.0,0,32.6,20.5,0.0,0.0,0.0,0.0,10.3,27.4,11.0,50.0,3,阴
G1,沧州西,2026-09-03,07:18,2026-09-03,07:20,0.0,210,30.1,17.3,0.0,0.0,0.0,0.0,9.3,23.8,2.0,62.0,2,多云
G1,德州东,2026-09-03,07:45,2026-09-03,07:47,0.0,314,29.8,18.1,0.0,0.0,0.0,0.0,13.0,31.7,0.0,56.0,0,晴
G1,曲阜东,2026-09-03,08:34,2026-09-03,08:36,,527,32.3,18.7,0.0,0.0,0.0,0.0,18.1,39.6,0.0,42.0,0,晴
G1,南京南,2026-09-03,10:13,2026-09-03,10:15,1.0,1015,27.5,23.1,7.8,7.8,0.0,15.0,22.6,52.6,99.0,85.0,61,小雨
G1,苏州北,2026-09-03,10:59,2026-09-03,11:01,2.0,1229,29.8,24.4,4.1,4.1,0.0,14.0,18.3,43.2,94.0,86.0,55,浓毛毛雨
G1,上海虹桥,2026-09-03,11:24,,,-1.0,1310,30.9,24.6,3.2,3.2,0.0,16.0,17.9,43.6,81.0,81.0,53,毛毛雨
D1,北京西,2026-09-03,17:58,2026-09-03,17:58,0.0,0,32.6,20.5,0.0,0.0,0.0,0.0,10.3,27.4,11.0,50.0,3,阴
D1,石家庄,2026-09-03,20:24,2026-09-03,20:30,23.0,281,28.4,18.1,0.0,0.0,0.0,0.0,5.2,13.0,0.0,67.0,0,晴
D1,郑州,2026-09-03,23:59,2026-09-04,00:05,18.0,707,28.8,20.1,0.0,0.0,0.0,0.0,15.5,42.5,1.0,46.0,0,晴
D1,武昌,2026-09-04,04:44,2026-09-04,04:50,6.0,1243,24.9,21.7,46.6,46.6,0.0,22.0,14.9,32.0,100.0,96.0,63,中雨
D1,岳阳,2026-09-04,06:47,2026-09-04,06:51,6.0,1458,27.1,21.2,9.2,9.2,0.0,11.0,21.7,43.6,99.0,80.0,61,小雨
D1,长沙,2026-09-04,08:16,,,-1.0,1605,26.8,22.1,8.3,8.3,0.0,21.0,16.7,38.9,100.0,90.0,53,毛毛雨
