车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-12,14:04,2026-08-12,14:04,0.0,0.0,27.6,26.1,7.4,7.4,0.0,15.0,18.8,46.4,93.0,90.0,55,浓毛毛雨
G80,南京南,2026-08-12,15:05,2026-08-12,15:10,-2.0,295.0,28.2,24.9,10.5,10.5,0.0,19.0,20.5,45.4,95.0,90.0,61,小雨
G81,徐州东,2026-08-12,16:19,2026-08-12,16:21,,626.0,28.4,24.0,25.0,25.0,0.0,18.0,22.5,46.4,91.0,87.0,63,中雨
G81,商丘,2026-08-12,17:05,2026-08-12,17:07,0.0,796.0,24.7,22.4,76.4,76.4,0.0,24.0,25.8,49.3,100.0,92.0,65,大雨
G81,开封北,2026-08-12,17:41,2026-08-12,17:43,0.0,934.0,35.4,26.9,0.0,0.0,0.0,0.0,21.1,45.0,13.0,47.0,3,阴
G81,郑州东,2026-08-12,18:04,,,-2.0,986.0,24.1,21.1,49.2,49.2,0.0,20.0,22.5,46.8,100.0,91.0,63,中雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-12,08:42,2026-08-12,08:42,0.0,0.0,38.0,28.6,0.4,0.4,0.0,2.0,10.2,33.1,75.0,60.0,51,小毛毛雨
G3726,佛山西,2026-08-12,09:04,2026-08-12,09:16,0.0,26.0,9.4,1.5,9.0,9.0,0.0,13.0,5.4,33.1,64.0,86.0,63,中雨
G3726,肇庆东,2026-08-12,09:35,2026-08-12,09:37,0.0,69.0,36.4,26.4,2.2,2.2,0.0,3.0,13.4,26.6,73.0,73.0,61,小雨
G3726,贺州,2026-08-12,10:24,2026-08-12,10:26,0.0,254.0,34.7,24.9,1.7,1.7,0.0,4.0,11.5,27.4,58.0,76.0,61,小雨
G3726,阳朔,2026-08-12,10:58,2026-08-12,11:04,0.0,372.0,34.5,24.9,3.3,3.3,0.0,7.0,8.3,29.5,60.0,77.0,61,小雨
G3726,桂林西,2026-08-12,11:24,2026-08-12,11:28,0.0,437.0,31.9,23.9,5.8,5.8,0.0,7.0,9.9,35.3,27.0,86.0,63,中雨
G3726,都匀东,2026-08-12,12:43,2026-08-12,12:48,,734.0,30.6,22.9,2.7,2.7,0.0,9.0,11.2,28.8,62.0,78.0,55,浓毛毛雨
G3726,贵阳东,2026-08-12,13:23,2026-08-12,13:31,0.0,850.0,28.7,21.8,1.5,1.5,0.0,4.0,20.5,50.0,60.0,70.0,55,浓毛毛雨
G3726,遵义,2026-08-12,14:18,2026-08-12,14:20,0.0,973.0,29.3,23.2,0.0,0.0,0.0,0.0,17.3,43.2,64.0,71.0,3,阴
G3726,娄山关南,2026-08-12,14:34,2026-08-12,14:36,0.0,1003.0,29.6,21.2,0.5,0.5,0.0,4.0,15.5,40.3,51.0,82.0,51,小毛毛雨
G3726,重庆西,2026-08-12,15:43,2026-08-12,15:52,0.0,1194.0,35.9,25.2,0.5,0.5,0.0,4.0,13.6,30.6,24.0,71.0,51,小毛毛雨
G3726,重庆北,2026-08-12,16:17,2026-08-12,16:22,0.0,1224.0,35.9,25.2,0.5,0.5,0.0,4.0,13.6,30.6,24.0,71.0,51,小毛毛雨
G3726,梁平南,2026-08-12,17:14,2026-08-12,17:19,0.0,1404.0,33.3,24.6,1.1,1.1,0.0,3.0,16.7,32.8,31.0,66.0,53,毛毛雨
G3726,万州北,2026-08-12,17:40,2026-08-12,17:44,,1469.0,32.0,27.0,5.1,5.1,0.0,10.0,10.4,24.8,63.0,80.0,61,小雨
G3726,云阳,2026-08-12,17:57,2026-08-12,17:59,0.0,1507.0,28.1,24.9,4.4,4.4,0.0,13.0,22.0,43.6,99.0,90.0,55,浓毛毛雨
G3726,巫山,2026-08-12,18:33,,,0.0,1622.0,35.2,26.1,1.5,1.5,0.0,2.0,16.9,37.8,57.0,69.0,55,浓毛毛雨
,,,,,,,,,,,,,,,,,,,
G1,北京南,2026-08-12,06:30,2026-08-12,06:30,0.0,0.0,26.0,23.0,28.6,28.6,0.0,23.0,7.3,27.0,100.0,92.0,63,中雨
G1,沧州西,2026-08-12,07:18,2026-08-12,07:20,-2.0,210.0,36.0,25.2,0.7,0.7,0.0,4.0,9.4,26.6,59.0,70.0,51,小毛毛雨
G1,德州东,2026-08-12,07:45,2026-08-12,07:47,0.0,314.0,29.3,17.3,0.8,0.8,0.0,7.0,4.0,15.8,41.0,78.0,51,小毛毛雨
G1,曲阜东,2026-08-12,08:34,2026-08-12,08:36,,527.0,27.8,23.8,13.7,13.7,0.0,11.0,16.8,31.7,100.0,86.0,63,中雨
G1,南京南,2026-08-12,10:13,2026-08-12,10:15,0.0,1015.0,28.2,24.9,10.5,10.5,0.0,19.0,20.5,45.4,95.0,90.0,61,小雨
G1,苏州北,2026-08-12,10:59,2026-08-12,11:01,2.0,1229.0,28.0,25.9,10.3,10.3,0.0,17.0,18.1,41.8,85.0,90.0,61,小雨
G1,上海虹桥,2026-08-12,11:24,,,0.0,1310.0,27.6,26.1,7.4,7.4,0.0,15.0,18.8,46.4,93.0,90.0,55,浓毛毛雨
,,,,,,,,,,,,,,,,,,,
