车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-09-18,14:04,2026-09-18,14:04,0.0,0,31.9,24.1,0.8,0.8,0.0,4.0,12.1,33.5,69.0,64.0,51,小毛毛雨
G80,南京南,2026-09-18,15:05,2026-09-18,15:10,-3.0,295,25.8,21.2,2.0,2.0,0.0,6.0,10.2,27.7,83.0,81.0,53,毛毛雨
G81,徐州东,2026-09-18,16:19,2026-09-18,16:21,,626,29.0,19.3,0.5,0.5,0.0,3.0,10.9,32.0,70.0,66.0,51,小毛毛雨
G81,商丘,2026-09-18,17:05,2026-09-18,17:07,-1.0,796,28.7,18.7,0.4,0.4,0.0,1.0,10.5,27.4,58.0,60.0,51,小毛毛雨
G81,开封北,2026-09-18,17:41,2026-09-18,17:43,-1.0,934,28.6,18.3,0.0,0.0,0.0,0.0,10.8,22.7,52.0,60.0,3,阴
G81,郑州东,2026-09-18,18:04,,,-2.0,986,28.2,19.0,0.0,0.0,0.0,0.0,6.0,20.9,53.0,56.0,3,阴
G3726,广州,2026-09-18,08:42,2026-09-18,08:42,0.0,0,33.0,25.2,0.5,0.5,0.0,5.0,8.2,18.0,10.0,75.0,51,小毛毛雨
G3726,佛山西,2026-09-18,09:04,2026-09-18,09:16,0.0,26,32.9,25.4,0.5,0.5,0.0,5.0,8.7,19.8,6.0,74.0,51,小毛毛雨
G3726,肇庆东,2026-09-18,09:35,2026-09-18,09:37,0.0,69,32.1,24.9,0.2,0.2,0.0,2.0,8.3,20.5,5.0,77.0,51,小毛毛雨
G3726,贺州,2026-09-18,10:24,2026-09-18,10:26,0.0,254,32.6,24.4,0.1,0.1,0.0,1.0,3.2,14.0,15.0,78.0,51,小毛毛雨
G3726,阳朔,2026-09-18,10:58,2026-09-18,11:04,2.0,372,32.9,24.4,1.5,1.5,0.0,10.0,6.9,23.0,25.0,78.0,51,小毛毛雨
G3726,桂林西,2026-09-18,11:24,2026-09-18,11:28,0.0,437,33.4,24.0,0.4,0.4,0.0,3.0,14.0,32.4,11.0,70.0,51,小毛毛雨
G3726,都匀东,2026-09-18,12:43,2026-09-18,12:48,,734,25.5,19.7,0.0,0.0,0.0,0.0,13.7,29.2,78.0,88.0,3,阴
G3726,贵阳东,2026-09-18,13:23,2026-09-18,13:31,0.0,850,27.9,18.8,3.3,3.3,0.0,14.0,19.4,44.6,59.0,74.0,51,小毛毛雨
G3726,遵义,2026-09-18,14:18,2026-09-18,14:20,0.0,973,28.9,19.8,3.8,3.8,0.0,14.0,15.5,35.3,66.0,83.0,53,毛毛雨
G3726,娄山关南,2026-09-18,14:34,2026-09-18,14:36,0.0,1003,27.2,20.3,6.6,6.6,0.0,16.0,16.3,39.2,70.0,88.0,61,小雨
G3726,重庆西,2026-09-18,15:43,2026-09-18,15:52,-1.0,1194,25.8,20.7,20.6,20.6,0.0,19.0,10.1,27.4,92.0,88.0,63,中雨
G3726,重庆北,2026-09-18,16:17,2026-09-18,16:22,-4.0,1224,25.8,20.7,20.6,20.6,0.0,19.0,10.1,27.4,92.0,88.0,63,中雨
G3726,梁平南,2026-09-18,17:14,2026-09-18,17:19,-1.0,1404,23.7,19.7,28.5,28.5,0.0,15.0,10.6,21.2,98.0,94.0,65,大雨
G3726,万州北,2026-09-18,17:40,2026-09-18,17:44,,1469,25.4,21.4,16.4,16.4,0.0,14.0,10.0,25.6,99.0,91.0,63,中雨
G3726,云阳,2026-09-18,17:57,2026-09-18,17:59,0.0,1507,27.1,21.3,1.3,1.3,0.0,4.0,11.6,23.0,79.0,81.0,53,毛毛雨
G3726,巫山,2026-09-18,18:33,,,0.0,1622,24.3,20.7,15.9,15.9,0.0,18.0,9.7,22.3,95.0,95.0,63,中雨
G1,北京南,2026-09-18,06:30,2026-09-18,06:30,,0,28.5,21.2,0.3,0.3,0.0,3.0,11.2,28.8,40.0,66.0,51,小毛毛雨
G1,沧州西,2026-09-18,07:18,2026-09-18,07:20,,210,28.0,19.1,1.5,1.5,0.0,6.0,13.9,28.4,35.0,79.0,53,毛毛雨
G1,德州东,2026-09-18,07:45,2026-09-18,07:47,0.0,314,29.8,19.8,1.4,1.4,0.0,6.0,13.7,27.7,36.0,65.0,53,毛毛雨
G1,曲阜东,2026-09-18,08:34,2026-09-18,08:36,,527,31.7,18.5,0.0,0.0,0.0,0.0,17.5,35.6,45.0,50.0,3,阴
