车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-22,14:04,2026-08-22,14:04,0.0,0.0,30.7,26.9,7.7,7.7,0.0,15.0,15.9,40.0,69.0,83.0,61,小雨
G80,南京南,2026-08-22,15:05,2026-08-22,15:10,-2.0,295.0,31.2,25.8,13.2,13.2,0.0,16.0,15.3,37.4,72.0,89.0,63,中雨
G81,徐州东,2026-08-22,16:19,2026-08-22,16:21,,626.0,32.2,24.9,4.6,4.6,0.0,13.0,20.0,46.1,34.0,84.0,61,小雨
G81,商丘,2026-08-22,17:05,2026-08-22,17:07,0.0,796.0,31.9,25.0,1.3,1.3,0.0,7.0,12.5,29.5,23.0,84.0,53,毛毛雨
G81,开封北,2026-08-22,17:41,2026-08-22,17:43,-1.0,934.0,33.0,24.1,1.4,1.4,0.0,6.0,9.1,23.4,10.0,71.0,51,小毛毛雨
G81,郑州东,2026-08-22,18:04,,,-2.0,986.0,31.9,24.9,0.7,0.7,0.0,5.0,8.8,23.8,13.0,80.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-22,08:42,2026-08-22,08:42,0.0,0.0,32.5,27.1,1.3,1.3,0.0,9.0,6.7,16.2,95.0,80.0,51,小毛毛雨
G3726,佛山西,2026-08-22,09:04,2026-08-22,09:16,0.0,26.0,9.2,2.0,3.1,3.1,0.0,14.0,10.2,32.8,85.0,90.0,53,毛毛雨
G3726,肇庆东,2026-08-22,09:35,2026-08-22,09:37,0.0,69.0,34.0,26.7,1.1,1.1,0.0,5.0,7.0,20.9,97.0,80.0,53,毛毛雨
G3726,贺州,2026-08-22,10:24,2026-08-22,10:26,0.0,254.0,33.0,25.0,8.2,8.2,0.0,15.0,6.1,22.7,94.0,87.0,63,中雨
G3726,阳朔,2026-08-22,10:58,2026-08-22,11:04,0.0,372.0,31.9,24.7,10.2,10.2,0.0,15.0,9.5,27.0,96.0,88.0,61,小雨
G3726,桂林西,2026-08-22,11:24,2026-08-22,11:28,0.0,437.0,33.8,25.3,4.7,4.7,0.0,9.0,10.6,24.1,40.0,84.0,61,小雨
G3726,都匀东,2026-08-22,12:43,2026-08-22,12:48,,734.0,30.8,24.1,2.4,2.4,0.0,13.0,16.1,36.0,62.0,84.0,53,毛毛雨
G3726,贵阳东,2026-08-22,13:23,2026-08-22,13:31,0.0,850.0,32.0,20.4,0.6,0.6,0.0,6.0,15.6,36.4,8.0,67.0,51,小毛毛雨
G3726,遵义,2026-08-22,14:18,2026-08-22,14:20,0.0,973.0,31.2,21.6,1.2,1.2,0.0,9.0,10.4,24.8,14.0,70.0,51,小毛毛雨
G3726,娄山关南,2026-08-22,14:34,2026-08-22,14:36,0.0,1003.0,31.3,21.6,1.3,1.3,0.0,7.0,9.9,23.0,16.0,73.0,51,小毛毛雨
