车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-08,14:04,2026-08-08,14:04,0.0,0.0,34.6,25.9,11.1,11.1,0.0,15.0,26.0,64.4,96.0,71.0,63,中雨
G80,南京南,2026-08-08,15:05,2026-08-08,15:10,-3.0,295.0,33.9,27.0,4.0,4.0,0.0,10.0,22.2,50.8,34.0,76.0,63,中雨
G81,徐州东,2026-08-08,16:19,2026-08-08,16:21,,626.0,33.9,26.6,2.9,2.9,0.0,12.0,18.9,47.2,19.0,68.0,61,小雨
G81,商丘,2026-08-08,17:05,2026-08-08,17:07,-2.0,796.0,33.9,27.8,6.4,6.4,0.0,8.0,23.3,51.5,18.0,69.0,63,中雨
G81,开封北,2026-08-08,17:41,2026-08-08,17:43,0.0,934.0,30.3,24.1,4.8,4.8,0.0,10.0,6.9,16.9,83.0,88.0,61,小雨
G81,郑州东,2026-08-08,18:04,,,-1.0,986.0,30.5,25.8,0.6,0.6,0.0,3.0,19.8,49.0,22.0,75.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-08-08,08:42,2026-08-08,08:42,0.0,0.0,35.6,27.5,0.5,0.5,0.0,4.0,10.1,32.0,14.0,74.0,51,小毛毛雨
G3726,佛山西,2026-08-08,09:04,2026-08-08,09:16,0.0,26.0,6.6,-1.5,5.8,5.1,0.49,12.0,8.5,29.5,93.0,89.0,73,中雪
G3726,肇庆东,2026-08-08,09:35,2026-08-08,09:37,-1.0,69.0,35.7,27.0,2.5,2.5,0.0,7.0,11.2,25.9,18.0,78.0,61,小雨
G3726,贺州,2026-08-08,10:24,2026-08-08,10:26,0.0,254.0,34.0,25.4,5.3,5.3,0.0,9.0,11.8,27.7,19.0,81.0,61,小雨
G3726,阳朔,2026-08-08,10:58,2026-08-08,11:04,0.0,372.0,33.5,26.3,0.1,0.1,0.0,1.0,15.8,36.7,8.0,75.0,51,小毛毛雨
G3726,桂林西,2026-08-08,11:24,2026-08-08,11:28,0.0,437.0,34.6,26.7,1.7,1.7,0.0,6.0,23.8,53.3,56.0,70.0,53,毛毛雨
G3726,都匀东,2026-08-08,12:43,2026-08-08,12:48,,734.0,31.2,23.3,3.8,3.8,0.0,9.0,13.7,33.5,28.0,83.0,61,小雨
G3726,贵阳东,2026-08-08,13:23,2026-08-08,13:31,-1.0,850.0,27.2,19.4,9.5,9.5,0.0,14.0,11.3,28.1,57.0,83.0,63,中雨
G3726,遵义,2026-08-08,14:18,2026-08-08,14:20,0.0,973.0,28.2,20.4,5.5,5.5,0.0,14.0,12.7,28.1,65.0,85.0,61,小雨
G3726,娄山关南,2026-08-08,14:34,2026-08-08,14:36,0.0,1003.0,27.1,20.7,28.5,28.5,0.0,19.0,5.2,19.4,77.0,91.0,65,大雨
G3726,重庆西,2026-08-08,15:43,2026-08-08,15:52,0.0,1194.0,29.9,23.9,20.2,20.2,0.0,20.0,11.5,27.7,83.0,86.0,63,中雨
G3726,重庆北,2026-08-08,16:17,2026-08-08,16:22,0.0,1224.0,29.9,23.9,20.2,20.2,0.0,20.0,11.5,27.7,83.0,86.0,63,中雨
G3726,梁平南,2026-08-08,17:14,2026-08-08,17:19,0.0,1404.0,29.1,23.1,19.4,19.4,0.0,16.0,7.2,22.7,80.0,91.0,63,中雨
G3726,万州北,2026-08-08,17:40,2026-08-08,17:44,,1469.0,33.7,26.3,0.6,0.6,0.0,6.0,6.1,16.9,69.0,82.0,51,小毛毛雨
