车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-09-13,14:04,2026-09-13,14:04,0.0,0,33.4,23.4,0.0,0.0,0.0,0.0,13.2,38.9,14.0,54.0,3,阴
G80,南京南,2026-09-13,15:05,2026-09-13,15:10,-3.0,295,31.2,20.9,0.6,0.6,0.0,3.0,12.4,30.2,38.0,69.0,51,小毛毛雨
G81,徐州东,2026-09-13,16:19,2026-09-13,16:21,,626,27.6,20.7,0.0,0.0,0.0,0.0,8.1,23.4,99.0,72.0,3,阴
G81,商丘,2026-09-13,17:05,2026-09-13,17:07,-1.0,796,26.3,19.7,0.0,0.0,0.0,0.0,5.4,14.0,100.0,67.0,3,阴
G81,开封北,2026-09-13,17:41,2026-09-13,17:43,-1.0,934,28.0,19.8,0.0,0.0,0.0,0.0,8.8,17.6,87.0,64.0,3,阴
G81,郑州东,2026-09-13,18:04,,,-2.0,986,29.3,20.9,0.0,0.0,0.0,0.0,9.6,25.9,73.0,58.0,3,阴
G3726,广州,2026-09-13,08:42,2026-09-13,08:42,0.0,0,32.7,24.1,9.0,9.0,0.0,10.0,11.2,36.4,64.0,77.0,63,中雨
G3726,佛山西,2026-09-13,09:04,2026-09-13,09:16,0.0,26,33.3,24.6,11.9,11.9,0.0,10.0,15.7,49.3,62.0,73.0,63,中雨
G3726,肇庆东,2026-09-13,09:35,2026-09-13,09:37,0.0,69,31.2,24.6,20.8,20.8,0.0,10.0,15.5,37.4,71.0,76.0,65,大雨
G3726,贺州,2026-09-13,10:24,2026-09-13,10:26,0.0,254,31.2,21.6,0.5,0.5,0.0,4.0,9.2,24.1,55.0,74.0,51,小毛毛雨
G3726,阳朔,2026-09-13,10:58,2026-09-13,11:04,0.0,372,29.9,22.3,0.5,0.5,0.0,2.0,17.0,38.2,50.0,68.0,51,小毛毛雨
G3726,桂林西,2026-09-13,11:24,2026-09-13,11:28,0.0,437,31.7,22.2,0.0,0.0,0.0,0.0,15.5,40.3,4.0,59.0,1,晴间多云
G3726,都匀东,2026-09-13,12:43,2026-09-13,12:48,,734,25.9,17.4,0.0,0.0,0.0,0.0,13.2,30.2,22.0,75.0,3,阴
G3726,贵阳东,2026-09-13,13:23,2026-09-13,13:31,0.0,850,25.9,15.2,0.0,0.0,0.0,0.0,17.0,36.4,23.0,66.0,3,阴
G3726,遵义,2026-09-13,14:18,2026-09-13,14:20,-1.0,973,27.1,16.1,0.1,0.1,0.0,1.0,15.5,28.1,36.0,73.0,51,小毛毛雨
G3726,娄山关南,2026-09-13,14:34,2026-09-13,14:36,0.0,1003,25.3,16.5,0.5,0.5,0.0,4.0,13.1,30.6,70.0,81.0,51,小毛毛雨
G3726,重庆西,2026-09-13,15:43,2026-09-13,15:52,0.0,1194,27.1,20.6,0.1,0.1,0.0,1.0,11.8,30.2,89.0,74.0,51,小毛毛雨
G3726,重庆北,2026-09-13,16:17,2026-09-13,16:22,-2.0,1224,27.1,20.6,0.1,0.1,0.0,1.0,11.8,30.2,89.0,74.0,51,小毛毛雨
G3726,梁平南,2026-09-13,17:14,2026-09-13,17:19,0.0,1404,26.7,19.3,0.0,0.0,0.0,0.0,14.6,31.0,98.0,74.0,3,阴
G3726,万州北,2026-09-13,17:40,2026-09-13,17:44,,1469,31.1,23.6,0.0,0.0,0.0,0.0,10.1,25.9,87.0,60.0,3,阴
G3726,云阳,2026-09-13,17:57,2026-09-13,17:59,0.0,1507,28.9,20.0,0.6,0.6,0.0,6.0,8.6,16.6,25.0,78.0,51,小毛毛雨
G3726,巫山,2026-09-13,18:33,,,0.0,1622,28.5,20.8,0.0,0.0,0.0,0.0,13.2,29.2,94.0,72.0,3,阴
G1,北京南,2026-09-13,06:30,2026-09-13,06:30,0.0,0,30.1,19.2,0.0,0.0,0.0,0.0,16.6,41.8,0.0,34.0,0,晴
G1,沧州西,2026-09-13,07:18,2026-09-13,07:20,0.0,210,28.6,17.1,0.0,0.0,0.0,0.0,24.0,51.5,12.0,52.0,2,多云
G1,德州东,2026-09-13,07:45,2026-09-13,07:47,0.0,314,29.3,18.9,0.0,0.0,0.0,0.0,17.8,42.1,50.0,49.0,3,阴
G1,曲阜东,2026-09-13,08:34,2026-09-13,08:36,,527,29.1,19.4,0.0,0.0,0.0,0.0,9.6,19.1,95.0,60.0,3,阴
G1,南京南,2026-09-13,10:13,2026-09-13,10:15,1.0,1015,31.2,20.9,0.6,0.6,0.0,3.0,12.4,30.2,38.0,69.0,51,小毛毛雨
G1,苏州北,2026-09-13,10:59,2026-09-13,11:01,0.0,1229,30.9,21.9,0.2,0.2,0.0,2.0,11.7,29.5,23.0,64.0,51,小毛毛雨
G1,上海虹桥,2026-09-13,11:24,,,0.0,1310,33.4,23.4,0.0,0.0,0.0,0.0,13.2,38.9,14.0,54.0,3,阴
D1,北京西,2026-09-13,17:58,2026-09-13,17:58,0.0,0,30.1,19.2,0.0,0.0,0.0,0.0,16.6,41.8,0.0,34.0,0,晴
D1,石家庄,2026-09-13,20:24,2026-09-13,20:30,0.0,281,29.2,18.5,0.0,0.0,0.0,0.0,9.7,24.5,2.0,61.0,0,晴
D1,郑州,2026-09-13,23:59,2026-09-14,00:05,4.0,707,29.3,20.9,0.0,0.0,0.0,0.0,9.6,25.9,73.0,58.0,3,阴
D1,武昌,2026-09-14,04:44,2026-09-14,04:50,8.0,1243,30.9,21.5,1.0,1.0,0.0,4.0,13.3,27.7,25.0,76.0,53,毛毛雨
D1,岳阳,2026-09-14,06:47,2026-09-14,06:51,14.0,1458,29.8,22.2,0.1,0.1,0.0,1.0,15.2,34.9,28.0,68.0,51,小毛毛雨
D1,长沙,2026-09-14,08:16,,,9.0,1605,33.0,23.5,0.0,0.0,0.0,0.0,16.9,41.4,22.0,57.0,3,阴
