车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-27,14:04,2026-08-27,14:04,-1.0,0.0,33.5,27.5,2.8,2.8,0.0,14.0,24.0,59.8,23.0,71.0,53,毛毛雨
G80,南京南,2026-08-27,15:05,2026-08-27,15:10,-3.0,295.0,34.6,25.8,0.0,0.0,0.0,0.0,13.5,36.0,22.0,71.0,3,阴
G81,徐州东,2026-08-27,16:19,2026-08-27,16:21,,626.0,33.0,25.2,0.5,0.5,0.0,5.0,7.9,20.9,23.0,78.0,51,小毛毛雨
G81,商丘,2026-08-27,17:05,2026-08-27,17:07,0.0,796.0,32.2,25.0,0.6,0.6,0.0,5.0,13.8,28.4,31.0,79.0,51,小毛毛雨
G81,开封北,2026-08-27,17:41,2026-08-27,17:43,0.0,934.0,29.1,23.7,0.0,0.0,0.0,0.0,15.5,38.2,65.0,80.0,3,阴
G81,郑州东,2026-08-27,18:04,,,,986.0,28.5,23.5,0.1,0.1,0.0,1.0,13.0,33.1,88.0,80.0,51,小毛毛雨
G3726,广州,2026-08-27,08:42,2026-08-27,08:42,0.0,0.0,30.6,25.6,29.9,29.9,0.0,21.0,13.2,34.9,100.0,92.0,63,中雨
G3726,佛山西,2026-08-27,09:04,2026-08-27,09:16,0.0,26.0,30.1,26.1,45.4,45.4,0.0,22.0,14.8,37.1,99.0,91.0,65,大雨
G3726,肇庆东,2026-08-27,09:35,2026-08-27,09:37,0.0,69.0,29.3,26.1,69.7,69.7,0.0,22.0,10.9,23.8,99.0,95.0,65,大雨
G3726,贺州,2026-08-27,10:24,2026-08-27,10:26,0.0,254.0,30.6,26.5,6.1,6.1,0.0,15.0,5.8,21.2,92.0,90.0,61,小雨
G3726,阳朔,2026-08-27,10:58,2026-08-27,11:04,0.0,372.0,30.0,25.6,15.7,15.7,0.0,19.0,8.3,22.3,92.0,96.0,63,中雨
G3726,桂林西,2026-08-27,11:24,2026-08-27,11:28,0.0,437.0,32.8,25.9,9.4,9.4,0.0,8.0,12.6,29.2,65.0,81.0,63,中雨
G3726,都匀东,2026-08-27,12:43,2026-08-27,12:48,,734.0,30.0,23.3,6.0,6.0,0.0,9.0,10.6,25.9,60.0,90.0,61,小雨
G3726,贵阳东,2026-08-27,13:23,2026-08-27,13:31,0.0,850.0,28.4,19.9,4.6,4.6,0.0,10.0,13.4,32.0,26.0,81.0,61,小雨
G3726,遵义,2026-08-27,14:18,2026-08-27,14:20,0.0,973.0,29.8,20.9,3.3,3.3,0.0,7.0,11.4,27.4,21.0,83.0,55,浓毛毛雨
G3726,娄山关南,2026-08-27,14:34,2026-08-27,14:36,0.0,1003.0,30.3,20.9,2.3,2.3,0.0,6.0,7.8,25.2,20.0,80.0,53,毛毛雨
G3726,重庆西,2026-08-27,15:43,2026-08-27,15:52,0.0,1194.0,36.9,28.5,2.1,2.1,0.0,12.0,9.9,24.8,16.0,54.0,51,小毛毛雨
G3726,重庆北,2026-08-27,16:17,2026-08-27,16:22,-1.0,1224.0,36.9,28.5,2.1,2.1,0.0,12.0,9.9,24.8,16.0,54.0,51,小毛毛雨
G3726,梁平南,2026-08-27,17:14,2026-08-27,17:19,0.0,1404.0,37.0,27.2,0.7,0.7,0.0,6.0,11.7,24.5,25.0,51.0,51,小毛毛雨
G3726,万州北,2026-08-27,17:40,2026-08-27,17:44,,1469.0,39.5,28.5,0.1,0.1,0.0,1.0,10.1,27.0,18.0,51.0,51,小毛毛雨
G3726,云阳,2026-08-27,17:57,2026-08-27,17:59,1.0,1507.0,32.3,25.1,1.1,1.1,0.0,3.0,15.8,31.3,19.0,82.0,53,毛毛雨
G3726,巫山,2026-08-27,18:33,,,0.0,1622.0,39.7,29.0,0.1,0.1,0.0,1.0,11.3,24.8,21.0,45.0,51,小毛毛雨
G1,北京南,2026-08-27,06:30,2026-08-27,06:30,-2.0,0.0,29.1,22.4,1.2,1.2,0.0,2.0,4.5,13.3,89.0,74.0,55,浓毛毛雨
G1,沧州西,2026-08-27,07:18,2026-08-27,07:20,0.0,210.0,28.5,23.1,3.0,3.0,0.0,11.0,13.8,31.0,91.0,81.0,53,毛毛雨
