车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-25,14:04,2026-08-25,14:04,0.0,0.0,31.9,26.1,0.3,0.3,0.0,3.0,14.6,37.4,24.0,77.0,51,小毛毛雨
G80,南京南,2026-08-25,15:05,2026-08-25,15:10,-3.0,295.0,33.4,25.9,0.0,0.0,0.0,0.0,17.9,45.4,17.0,74.0,2,多云
G81,徐州东,2026-08-25,16:19,2026-08-25,16:21,,626.0,32.6,25.9,0.0,0.0,0.0,0.0,13.4,36.4,23.0,77.0,3,阴
G81,商丘,2026-08-25,17:05,2026-08-25,17:07,-1.0,796.0,33.0,26.2,0.1,0.1,0.0,1.0,14.4,32.8,13.0,77.0,51,小毛毛雨
G81,开封北,2026-08-25,17:41,2026-08-25,17:43,-1.0,934.0,33.3,25.9,1.1,1.1,0.0,9.0,14.5,32.0,16.0,79.0,51,小毛毛雨
G81,郑州东,2026-08-25,18:04,,,0.0,986.0,33.0,24.7,4.9,4.9,0.0,9.0,10.0,27.4,44.0,82.0,61,小雨
G3726,广州,2026-08-25,08:42,2026-08-25,08:42,0.0,0.0,32.8,26.3,2.7,2.7,0.0,12.0,14.4,34.9,96.0,79.0,53,毛毛雨
G3726,佛山西,2026-08-25,09:04,2026-08-25,09:16,0.0,26.0,33.5,26.9,3.8,3.8,0.0,12.0,15.6,37.4,94.0,79.0,61,小雨
G3726,肇庆东,2026-08-25,09:35,2026-08-25,09:37,0.0,69.0,32.8,26.8,5.3,5.3,0.0,14.0,12.1,28.1,92.0,83.0,63,中雨
G3726,贺州,2026-08-25,10:24,2026-08-25,10:26,0.0,254.0,32.5,25.5,6.4,6.4,0.0,10.0,12.5,30.2,82.0,85.0,61,小雨
G3726,阳朔,2026-08-25,10:58,2026-08-25,11:04,1.0,372.0,33.0,25.1,10.2,10.2,0.0,13.0,6.2,25.2,94.0,90.0,63,中雨
G3726,桂林西,2026-08-25,11:24,2026-08-25,11:28,2.0,437.0,33.5,25.8,8.8,8.8,0.0,9.0,12.6,34.6,68.0,75.0,63,中雨
G3726,都匀东,2026-08-25,12:43,2026-08-25,12:48,,734.0,29.8,23.2,16.5,16.5,0.0,23.0,16.8,37.4,79.0,93.0,63,中雨
G3726,贵阳东,2026-08-25,13:23,2026-08-25,13:31,0.0,850.0,27.2,20.7,16.5,16.5,0.0,19.0,21.3,45.0,91.0,87.0,61,小雨
G3726,遵义,2026-08-25,14:18,2026-08-25,14:20,0.0,973.0,28.3,21.6,33.0,33.0,0.0,22.0,15.9,33.5,81.0,92.0,63,中雨
G3726,娄山关南,2026-08-25,14:34,2026-08-25,14:36,0.0,1003.0,28.0,21.5,15.3,15.3,0.0,16.0,13.7,35.6,60.0,91.0,63,中雨
G3726,重庆西,2026-08-25,15:43,2026-08-25,15:52,0.0,1194.0,37.1,26.4,2.2,2.2,0.0,8.0,13.2,40.0,29.0,67.0,53,毛毛雨
G3726,重庆北,2026-08-25,16:17,2026-08-25,16:22,-1.0,1224.0,37.1,26.4,2.2,2.2,0.0,8.0,13.2,40.0,29.0,67.0,53,毛毛雨
G3726,梁平南,2026-08-25,17:14,2026-08-25,17:19,0.0,1404.0,37.2,27.3,0.3,0.3,0.0,2.0,12.8,28.1,14.0,56.0,51,小毛毛雨
G3726,万州北,2026-08-25,17:40,2026-08-25,17:44,,1469.0,38.9,29.9,0.2,0.2,0.0,2.0,12.5,33.5,11.0,53.0,51,小毛毛雨
G3726,云阳,2026-08-25,17:57,2026-08-25,17:59,0.0,1507.0,31.6,25.5,0.2,0.2,0.0,2.0,17.8,37.4,16.0,80.0,51,小毛毛雨
G3726,巫山,2026-08-25,18:33,,,0.0,1622.0,39.4,29.1,0.1,0.1,0.0,1.0,12.1,32.8,10.0,51.0,51,小毛毛雨
G1,北京南,2026-08-25,06:30,2026-08-25,06:30,0.0,0.0,30.8,24.1,29.5,29.5,0.0,10.0,8.9,28.8,79.0,87.0,65,大雨
G1,沧州西,2026-08-25,07:18,2026-08-25,07:20,-3.0,210.0,35.5,25.6,22.5,22.5,0.0,13.0,14.1,38.5,41.0,81.0,65,大雨
G1,德州东,2026-08-25,07:45,2026-08-25,07:47,-4.0,314.0,33.2,25.6,4.6,4.6,0.0,10.0,16.9,40.7,28.0,81.0,55,浓毛毛雨
G1,曲阜东,2026-08-25,08:34,2026-08-25,08:36,,527.0,34.8,26.5,0.0,0.0,0.0,0.0,15.6,34.2,13.0,70.0,1,晴间多云
G1,南京南,2026-08-25,10:13,2026-08-25,10:15,1.0,1015.0,33.4,25.9,0.0,0.0,0.0,0.0,17.9,45.4,17.0,74.0,2,多云
G1,苏州北,2026-08-25,10:59,2026-08-25,11:01,1.0,1229.0,32.3,25.9,1.0,1.0,0.0,7.0,16.6,40.0,32.0,78.0,51,小毛毛雨
G1,上海虹桥,2026-08-25,11:24,,,1.0,1310.0,31.9,26.1,0.3,0.3,0.0,3.0,14.6,37.4,24.0,77.0,51,小毛毛雨
D1,北京西,2026-08-25,17:58,2026-08-25,17:58,0.0,0.0,30.8,24.1,29.5,29.5,0.0,10.0,8.9,28.8,79.0,87.0,65,大雨
