车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-31,14:04,2026-08-31,14:04,0.0,0,33.4,25.8,23.9,23.9,0.0,12.0,14.3,40.0,70.0,79.0,65,大雨
G80,南京南,2026-08-31,15:05,2026-08-31,15:10,-3.0,295,27.4,24.1,46.3,46.3,0.0,22.0,20.0,39.6,93.0,93.0,65,大雨
G81,徐州东,2026-08-31,16:19,2026-08-31,16:21,,626,30.5,21.7,0.0,0.0,0.0,0.0,15.1,33.5,8.0,60.0,2,多云
G81,商丘,2026-08-31,17:05,2026-08-31,17:07,0.0,796,31.9,20.9,0.0,0.0,0.0,0.0,19.0,42.8,0.0,58.0,0,晴
G81,开封北,2026-08-31,17:41,2026-08-31,17:43,2.0,934,34.7,21.2,0.0,0.0,0.0,0.0,11.5,25.9,8.0,45.0,1,晴间多云
G81,郑州东,2026-08-31,18:04,,,-1.0,986,33.5,21.9,0.0,0.0,0.0,0.0,11.7,29.2,1.0,57.0,0,晴
G3726,广州,2026-08-31,08:42,2026-08-31,08:42,-1.0,0,31.0,25.7,36.1,36.1,0.0,18.0,15.3,34.2,96.0,90.0,65,大雨
G3726,佛山西,2026-08-31,09:04,2026-08-31,09:16,0.0,26,5.2,0.1,11.9,11.9,0.0,22.0,5.8,23.4,99.0,94.0,61,小雨
G3726,肇庆东,2026-08-31,09:35,2026-08-31,09:37,0.0,69,32.3,25.8,7.1,7.1,0.0,11.0,8.8,27.7,97.0,84.0,63,中雨
G3726,贺州,2026-08-31,10:24,2026-08-31,10:26,0.0,254,27.4,21.8,8.9,8.9,0.0,17.0,12.4,32.0,89.0,93.0,55,浓毛毛雨
G3726,阳朔,2026-08-31,10:58,2026-08-31,11:04,0.0,372,26.4,22.9,8.8,8.8,0.0,15.0,23.9,55.4,91.0,89.0,63,中雨
G3726,桂林西,2026-08-31,11:24,2026-08-31,11:28,0.0,437,32.6,24.1,9.7,9.7,0.0,22.0,23.3,50.4,61.0,86.0,63,中雨
G3726,都匀东,2026-08-31,12:43,2026-08-31,12:48,,734,26.6,22.4,3.9,3.9,0.0,9.0,21.8,47.9,91.0,77.0,61,小雨
G3726,贵阳东,2026-08-31,13:23,2026-08-31,13:31,0.0,850,25.4,19.2,2.0,2.0,0.0,6.0,20.4,43.2,57.0,71.0,53,毛毛雨
G3726,遵义,2026-08-31,14:18,2026-08-31,14:20,0.0,973,25.9,21.2,9.2,9.2,0.0,7.0,15.3,36.4,83.0,79.0,63,中雨
G3726,娄山关南,2026-08-31,14:34,2026-08-31,14:36,0.0,1003,28.2,19.8,0.2,0.2,0.0,2.0,18.0,41.4,59.0,73.0,51,小毛毛雨
G3726,重庆西,2026-08-31,15:43,2026-08-31,15:52,0.0,1194,32.8,24.8,0.0,0.0,0.0,0.0,10.1,26.3,32.0,71.0,3,阴
G3726,重庆北,2026-08-31,16:17,2026-08-31,16:22,-4.0,1224,32.8,24.8,0.0,0.0,0.0,0.0,10.1,26.3,32.0,71.0,3,阴
G3726,梁平南,2026-08-31,17:14,2026-08-31,17:19,0.0,1404,33.7,21.5,0.0,0.0,0.0,0.0,7.4,22.7,9.0,57.0,1,晴间多云
G3726,万州北,2026-08-31,17:40,2026-08-31,17:44,,1469,36.8,25.9,0.0,0.0,0.0,0.0,15.3,46.8,10.0,49.0,2,多云
G3726,云阳,2026-08-31,17:57,2026-08-31,17:59,0.0,1507,27.0,24.4,41.1,41.1,0.0,19.0,21.3,43.9,82.0,91.0,63,中雨
G3726,巫山,2026-08-31,18:33,,,0.0,1622,37.2,23.8,0.0,0.0,0.0,0.0,14.4,29.9,13.0,50.0,3,阴
G1,北京南,2026-08-31,06:30,2026-08-31,06:30,0.0,0,29.4,19.1,0.0,0.0,0.0,0.0,10.1,22.0,3.0,58.0,0,晴
