车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-09-11,14:04,2026-09-11,14:04,0.0,0,26.8,22.1,1.6,1.6,0.0,8.0,13.2,32.4,81.0,69.0,51,小毛毛雨
G80,南京南,2026-09-11,15:05,2026-09-11,15:10,-2.0,295,26.9,18.9,0.2,0.2,0.0,2.0,10.6,29.9,60.0,71.0,51,小毛毛雨
G81,徐州东,2026-09-11,16:19,2026-09-11,16:21,,626,26.0,18.4,0.0,0.0,0.0,0.0,8.9,22.7,96.0,55.0,3,阴
G81,商丘,2026-09-11,17:05,2026-09-11,17:07,1.0,796,25.7,17.9,0.0,0.0,0.0,0.0,10.1,20.2,96.0,52.0,3,阴
G81,开封北,2026-09-11,17:41,2026-09-11,17:43,0.0,934,25.4,17.5,0.0,0.0,0.0,0.0,6.9,13.7,98.0,63.0,3,阴
G81,郑州东,2026-09-11,18:04,,,-2.0,986,24.8,18.4,0.0,0.0,0.0,0.0,7.9,16.2,98.0,66.0,3,阴
G3726,广州,2026-09-11,08:42,2026-09-11,08:42,0.0,0,30.7,23.2,0.0,0.0,0.0,0.0,15.7,37.1,12.0,65.0,2,多云
G3726,佛山西,2026-09-11,09:04,2026-09-11,09:16,0.0,26,31.6,23.6,0.0,0.0,0.0,0.0,16.5,38.5,22.0,63.0,3,阴
G3726,肇庆东,2026-09-11,09:35,2026-09-11,09:37,0.0,69,30.6,23.7,0.0,0.0,0.0,0.0,14.0,31.7,18.0,66.0,3,阴
G3726,贺州,2026-09-11,10:24,2026-09-11,10:26,0.0,254,28.0,18.9,0.0,0.0,0.0,0.0,12.1,30.2,27.0,71.0,3,阴
G3726,阳朔,2026-09-11,10:58,2026-09-11,11:04,-1.0,372,27.0,18.6,0.0,0.0,0.0,0.0,19.2,46.4,9.0,71.0,1,晴间多云
G3726,桂林西,2026-09-11,11:24,2026-09-11,11:28,0.0,437,26.9,18.6,0.0,0.0,0.0,0.0,18.5,47.2,12.0,64.0,2,多云
G3726,都匀东,2026-09-11,12:43,2026-09-11,12:48,,734,22.9,15.5,0.0,0.0,0.0,0.0,9.8,22.7,80.0,73.0,3,阴
G3726,贵阳东,2026-09-11,13:23,2026-09-11,13:31,0.0,850,23.3,16.2,0.0,0.0,0.0,0.0,13.0,33.5,80.0,67.0,3,阴
G3726,遵义,2026-09-11,14:18,2026-09-11,14:20,0.0,973,21.3,16.5,1.0,1.0,0.0,8.0,9.7,22.0,86.0,77.0,51,小毛毛雨
G3726,娄山关南,2026-09-11,14:34,2026-09-11,14:36,0.0,1003,21.3,16.7,4.8,4.8,0.0,10.0,7.1,15.8,88.0,84.0,55,浓毛毛雨
G3726,重庆西,2026-09-11,15:43,2026-09-11,15:52,-1.0,1194,26.0,20.5,0.3,0.3,0.0,2.0,11.9,30.2,88.0,73.0,51,小毛毛雨
G3726,重庆北,2026-09-11,16:17,2026-09-11,16:22,-5.0,1224,26.0,20.5,0.3,0.3,0.0,2.0,11.9,30.2,88.0,73.0,51,小毛毛雨
G3726,梁平南,2026-09-11,17:14,2026-09-11,17:19,-1.0,1404,21.9,19.1,8.7,8.7,0.0,19.0,6.4,17.3,100.0,87.0,53,毛毛雨
G3726,万州北,2026-09-11,17:40,2026-09-11,17:44,,1469,27.2,22.2,0.1,0.1,0.0,1.0,10.8,25.2,98.0,54.0,51,小毛毛雨
G3726,云阳,2026-09-11,17:57,2026-09-11,17:59,0.0,1507,26.0,19.9,0.2,0.2,0.0,2.0,12.8,26.6,82.0,77.0,51,小毛毛雨
G3726,巫山,2026-09-11,18:33,,,0.0,1622,24.7,20.3,2.6,2.6,0.0,12.0,8.1,16.9,100.0,75.0,51,小毛毛雨
G1,北京南,2026-09-11,06:30,2026-09-11,06:30,0.0,0,31.3,16.9,0.0,0.0,0.0,0.0,11.2,30.2,0.0,39.0,0,晴
G1,沧州西,2026-09-11,07:18,2026-09-11,07:20,-2.0,210,27.3,15.0,0.0,0.0,0.0,0.0,14.0,29.9,49.0,60.0,3,阴
G1,德州东,2026-09-11,07:45,2026-09-11,07:47,0.0,314,26.9,16.1,0.0,0.0,0.0,0.0,11.5,25.2,74.0,60.0,3,阴
G1,曲阜东,2026-09-11,08:34,2026-09-11,08:36,,527,27.9,17.6,0.2,0.2,0.0,1.0,9.4,16.9,99.0,41.0,51,小毛毛雨
G1,南京南,2026-09-11,10:13,2026-09-11,10:15,0.0,1015,26.9,18.9,0.2,0.2,0.0,2.0,10.6,29.9,60.0,71.0,51,小毛毛雨
G1,苏州北,2026-09-11,10:59,2026-09-11,11:01,1.0,1229,25.2,20.7,2.9,2.9,0.0,3.0,14.0,36.0,72.0,76.0,61,小雨
G1,上海虹桥,2026-09-11,11:24,,,-1.0,1310,26.8,22.1,1.6,1.6,0.0,8.0,13.2,32.4,81.0,69.0,51,小毛毛雨
D1,北京西,2026-09-11,17:58,2026-09-11,17:58,0.0,0,31.3,16.9,0.0,0.0,0.0,0.0,11.2,30.2,0.0,39.0,0,晴
D1,石家庄,2026-09-11,20:24,2026-09-11,20:30,2.0,281,26.6,15.2,0.0,0.0,0.0,0.0,10.9,23.4,50.0,65.0,3,阴
D1,郑州,2026-09-11,23:59,2026-09-12,00:05,9.0,707,24.8,18.4,0.0,0.0,0.0,0.0,7.9,16.2,98.0,66.0,3,阴
D1,武昌,2026-09-12,04:44,2026-09-12,04:50,8.0,1243,28.7,18.4,0.0,0.0,0.0,0.0,15.5,31.3,47.0,73.0,3,阴
D1,岳阳,2026-09-12,06:47,2026-09-12,06:51,9.0,1458,28.1,18.8,0.0,0.0,0.0,0.0,12.4,27.7,13.0,70.0,3,阴
D1,长沙,2026-09-12,08:16,,,3.0,1605,30.8,20.6,0.0,0.0,0.0,0.0,11.8,30.2,13.0,59.0,2,多云
