车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-07-28,14:04,2026-07-28,14:04,0.0,0.0,35.6,28.9,0.4,0.4,0.0,3.0,15.7,43.6,98.0,64.0,51,小毛毛雨
G80,南京南,2026-07-28,15:05,2026-07-28,15:10,-2.0,295.0,32.0,27.5,0.2,0.2,0.0,1.0,14.6,29.5,98.0,78.0,51,小毛毛雨
G81,徐州东,2026-07-28,16:19,2026-07-28,16:21,,626.0,31.9,24.6,22.6,22.6,0.0,12.0,20.0,45.0,94.0,92.0,63,中雨
G81,商丘,2026-07-28,17:05,2026-07-28,17:07,0.0,796.0,30.2,24.5,26.1,26.1,0.0,19.0,12.0,38.5,95.0,91.0,65,大雨
G81,开封北,2026-07-28,17:41,2026-07-28,17:43,0.0,934.0,32.3,21.8,14.8,14.8,0.0,10.0,13.4,30.6,27.0,79.0,63,中雨
G81,郑州东,2026-07-28,18:04,,,-1.0,986.0,30.7,23.8,7.7,7.7,0.0,19.0,12.0,31.3,87.0,88.0,61,小雨
,,,,,,,,,,,,,,,,,,,
G3726,广州,2026-07-28,08:42,2026-07-28,08:42,0.0,0.0,29.3,25.6,14.4,14.4,0.0,16.0,14.1,34.9,97.0,89.0,63,中雨
G3726,佛山西,2026-07-28,09:04,2026-07-28,09:16,0.0,26.0,8.3,-0.6,11.3,11.0,0.21,13.0,6.3,27.7,86.0,91.0,73,中雪
G3726,肇庆东,2026-07-28,09:35,2026-07-28,09:37,0.0,69.0,29.1,25.3,12.5,12.5,0.0,15.0,15.3,34.2,96.0,89.0,63,中雨
G3726,贺州,2026-07-28,10:24,2026-07-28,10:26,0.0,254.0,30.6,24.4,10.7,10.7,0.0,14.0,10.0,24.8,95.0,90.0,63,中雨
G3726,阳朔,2026-07-28,10:58,2026-07-28,11:04,0.0,372.0,30.0,23.6,19.3,19.3,0.0,15.0,9.1,24.5,97.0,92.0,63,中雨
G3726,桂林西,2026-07-28,11:24,2026-07-28,11:28,0.0,437.0,32.8,25.0,6.3,6.3,0.0,11.0,12.8,29.2,99.0,73.0,61,小雨
G3726,都匀东,2026-07-28,12:43,2026-07-28,12:48,,734.0,30.0,22.8,0.2,0.2,0.0,2.0,9.5,25.6,89.0,83.0,51,小毛毛雨
G3726,贵阳东,2026-07-28,13:23,2026-07-28,13:31,0.0,850.0,28.5,19.8,4.5,4.5,0.0,11.0,12.4,33.1,87.0,82.0,61,小雨
G3726,遵义,2026-07-28,14:18,2026-07-28,14:20,0.0,973.0,28.4,21.6,9.8,9.8,0.0,17.0,19.5,39.2,87.0,87.0,63,中雨
G3726,娄山关南,2026-07-28,14:34,2026-07-28,14:36,0.0,1003.0,27.7,21.9,10.6,10.6,0.0,12.0,12.4,29.2,82.0,82.0,63,中雨
G3726,重庆西,2026-07-28,15:43,2026-07-28,15:52,1.0,1194.0,35.3,26.5,2.1,2.1,0.0,6.0,10.7,31.0,47.0,61.0,53,毛毛雨
G3726,重庆北,2026-07-28,16:17,2026-07-28,16:22,-2.0,1224.0,35.3,26.5,2.1,2.1,0.0,6.0,10.7,31.0,47.0,61.0,53,毛毛雨
G3726,梁平南,2026-07-28,17:14,2026-07-28,17:19,0.0,1404.0,33.8,24.6,0.9,0.9,0.0,5.0,10.7,27.4,39.0,67.0,51,小毛毛雨
G3726,万州北,2026-07-28,17:40,2026-07-28,17:44,,1469.0,35.6,28.4,0.6,0.6,0.0,3.0,10.5,28.8,42.0,58.0,51,小毛毛雨
G3726,云阳,2026-07-28,17:57,2026-07-28,17:59,0.0,1507.0,32.3,27.6,0.5,0.5,0.0,2.0,17.5,34.2,96.0,77.0,51,小毛毛雨
G3726,巫山,2026-07-28,18:33,,,-1.0,1622.0,36.2,26.2,0.8,0.8,0.0,5.0,10.0,22.7,31.0,60.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
G1,北京南,2026-07-28,06:30,2026-07-28,06:30,0.0,0.0,35.0,26.5,1.1,1.1,0.0,8.0,12.5,37.8,16.0,66.0,51,小毛毛雨
G1,沧州西,2026-07-28,07:18,2026-07-28,07:20,0.0,210.0,29.6,24.3,4.3,4.3,0.0,12.0,12.6,37.4,99.0,90.0,53,毛毛雨
G1,德州东,2026-07-28,07:45,2026-07-28,07:47,0.0,314.0,25.9,20.2,6.1,6.1,0.0,21.0,5.1,19.8,86.0,84.0,53,毛毛雨
G1,曲阜东,2026-07-28,08:34,2026-07-28,08:36,,527.0,31.4,24.5,9.1,9.1,0.0,14.0,14.1,30.6,89.0,88.0,61,小雨
G1,南京南,2026-07-28,10:13,2026-07-28,10:15,0.0,1015.0,32.0,27.5,0.2,0.2,0.0,1.0,14.6,29.5,98.0,78.0,51,小毛毛雨
G1,苏州北,2026-07-28,10:59,2026-07-28,11:01,0.0,1229.0,34.7,28.1,0.0,0.0,0.0,0.0,15.0,40.0,96.0,69.0,3,阴
G1,上海虹桥,2026-07-28,11:24,,,-1.0,1310.0,35.6,28.9,0.4,0.4,0.0,3.0,15.7,43.6,98.0,64.0,51,小毛毛雨
,,,,,,,,,,,,,,,,,,,
D1,北京西,2026-07-28,17:58,2026-07-28,17:58,0.0,0.0,35.0,26.5,1.1,1.1,0.0,8.0,12.5,37.8,16.0,66.0,51,小毛毛雨
D1,石家庄,2026-07-28,20:24,2026-07-28,20:30,0.0,281.0,33.5,24.2,7.2,7.2,0.0,15.0,11.2,30.2,42.0,73.0,55,浓毛毛雨
D1,郑州,2026-07-28,23:59,2026-07-29,00:05,0.0,707.0,30.7,23.8,7.7,7.7,0.0,19.0,12.0,31.3,87.0,88.0,61,小雨
D1,武昌,2026-07-29,04:44,2026-07-29,04:50,-12.0,1243.0,29.7,22.6,9.0,9.0,0.0,4.0,12.1,25.9,95.0,86.0,63,中雨
D1,岳阳,2026-07-29,06:47,2026-07-29,06:51,-9.0,1458.0,32.2,25.8,0.2,0.2,0.0,2.0,19.9,42.5,95.0,78.0,51,小毛毛雨
D1,长沙,2026-07-29,08:16,,,-8.0,1605.0,37.9,25.6,10.7,10.7,0.0,14.0,8.5,25.2,68.0,73.0,63,中雨
,,,,,,,,,,,,,,,,,,,
