车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-10,14:04,2026-08-10,14:04,0.0,0.0,27.0,25.7,96.9,96.9,0.0,23.0,35.0,79.9,100.0,92.0,65,大雨
G80,南京南,2026-08-10,15:05,2026-08-10,15:10,14.0,295.0,26.2,24.7,101.0,101.0,0.0,24.0,35.7,82.8,100.0,95.0,65,大雨
G81,徐州东,2026-08-10,16:19,2026-08-10,16:21,,626.0,28.0,25.1,20.9,20.9,0.0,15.0,23.2,49.0,100.0,86.0,63,中雨
G81,商丘,2026-08-10,17:05,2026-08-10,17:07,40.0,796.0,31.8,25.2,8.7,8.7,0.0,11.0,24.3,54.7,78.0,75.0,61,小雨
G81,开封北,2026-08-10,17:41,2026-08-10,17:43,39.0,934.0,30.6,22.9,0.2,0.2,0.0,2.0,20.6,49.7,55.0,67.0,51,小毛毛雨
G81,郑州东,2026-08-10,18:04,,,39.0,986.0,31.6,23.2,0.1,0.1,0.0,1.0,15.7,42.1,52.0,61.0,51,小毛毛雨
G3726,广州,2026-08-10,08:42,2026-08-10,08:42,0.0,0.0,34.8,27.8,0.4,0.4,0.0,4.0,13.9,37.1,43.0,62.0,51,小毛毛雨
G3726,佛山西,2026-08-10,09:04,2026-08-10,09:16,0.0,26.0,35.1,28.1,0.2,0.2,0.0,2.0,16.7,41.0,39.0,61.0,51,小毛毛雨
G3726,肇庆东,2026-08-10,09:35,2026-08-10,09:37,0.0,69.0,34.9,28.0,0.8,0.8,0.0,5.0,14.3,31.7,32.0,67.0,51,小毛毛雨
G3726,贺州,2026-08-10,10:24,2026-08-10,10:26,0.0,254.0,33.6,26.0,0.0,0.0,0.0,0.0,18.5,41.8,33.0,64.0,2,多云
G3726,阳朔,2026-08-10,10:58,2026-08-10,11:04,0.0,372.0,32.7,25.7,0.0,0.0,0.0,0.0,20.6,49.0,15.0,67.0,2,多云
G3726,桂林西,2026-08-10,11:24,2026-08-10,11:28,2.0,437.0,34.9,26.3,1.2,1.2,0.0,4.0,17.8,42.5,21.0,55.0,53,毛毛雨
G3726,都匀东,2026-08-10,12:43,2026-08-10,12:48,,734.0,30.0,23.0,1.3,1.3,0.0,7.0,20.3,47.5,23.0,71.0,51,小毛毛雨
G3726,贵阳东,2026-08-10,13:23,2026-08-10,13:31,0.0,850.0,28.5,19.3,2.3,2.3,0.0,12.0,15.9,35.6,22.0,78.0,53,毛毛雨
