车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-07-27,14:04,2026-07-27,14:04,0.0,0.0,35.4,28.9,0.0,0.0,0.0,0.0,16.0,43.2,99.0,65.0,3,阴
G80,南京南,2026-07-27,15:05,2026-07-27,15:10,1.0,295.0,32.7,28.0,0.5,0.5,0.0,2.0,12.5,25.6,99.0,79.0,51,小毛毛雨
G81,徐州东,2026-07-27,16:19,2026-07-27,16:21,,626.0,31.1,25.6,4.1,4.1,0.0,10.0,12.3,29.9,94.0,88.0,61,小雨
G81,商丘,2026-07-27,17:05,2026-07-27,17:07,3.0,796.0,32.7,24.7,9.3,9.3,0.0,10.0,12.2,41.0,79.0,86.0,63,中雨
G81,开封北,2026-07-27,17:41,2026-07-27,17:43,3.0,934.0,30.6,24.0,10.8,10.8,0.0,11.0,12.3,33.5,85.0,87.0,63,中雨
G81,郑州东,2026-07-27,18:04,,,1.0,986.0,30.6,24.1,9.0,9.0,0.0,15.0,11.0,31.3,79.0,88.0,63,中雨
G3726,广州,2026-07-27,08:42,2026-07-27,08:42,-1.0,0.0,32.0,24.6,13.8,13.8,0.0,11.0,15.8,35.6,82.0,84.0,65,大雨
G3726,佛山西,2026-07-27,09:04,2026-07-27,09:16,1.0,26.0,32.4,23.6,20.3,20.3,0.0,10.0,19.0,41.0,83.0,83.0,65,大雨
G3726,肇庆东,2026-07-27,09:35,2026-07-27,09:37,1.0,69.0,31.6,24.8,0.4,0.4,0.0,4.0,12.9,29.9,65.0,80.0,51,小毛毛雨
G3726,贺州,2026-07-27,10:24,2026-07-27,10:26,0.0,254.0,32.2,24.2,1.2,1.2,0.0,8.0,9.7,21.2,45.0,77.0,51,小毛毛雨
G3726,阳朔,2026-07-27,10:58,2026-07-27,11:04,0.0,372.0,32.7,23.6,11.3,11.3,0.0,9.0,8.2,29.2,50.0,81.0,63,中雨
G3726,桂林西,2026-07-27,11:24,2026-07-27,11:28,0.0,437.0,33.1,24.1,18.8,18.8,0.0,8.0,9.4,23.0,30.0,74.0,65,大雨
G3726,都匀东,2026-07-27,12:43,2026-07-27,12:48,,734.0,30.4,21.4,2.2,2.2,0.0,8.0,8.6,19.8,33.0,81.0,53,毛毛雨
G3726,贵阳东,2026-07-27,13:23,2026-07-27,13:31,0.0,850.0,31.2,20.9,9.3,9.3,0.0,10.0,17.0,40.7,75.0,79.0,63,中雨
G3726,遵义,2026-07-27,14:18,2026-07-27,14:20,0.0,973.0,31.7,22.6,2.4,2.4,0.0,6.0,13.9,29.5,47.0,69.0,55,浓毛毛雨
G3726,娄山关南,2026-07-27,14:34,2026-07-27,14:36,0.0,1003.0,31.8,22.2,5.2,5.2,0.0,8.0,14.4,33.5,29.0,74.0,61,小雨
G3726,重庆西,2026-07-27,15:43,2026-07-27,15:52,0.0,1194.0,39.2,30.2,2.0,2.0,0.0,6.0,13.0,37.4,53.0,44.0,53,毛毛雨
G3726,重庆北,2026-07-27,16:17,2026-07-27,16:22,0.0,1224.0,39.2,30.2,2.0,2.0,0.0,6.0,13.0,37.4,53.0,44.0,53,毛毛雨
G3726,梁平南,2026-07-27,17:14,2026-07-27,17:19,0.0,1404.0,34.8,25.5,0.1,0.1,0.0,1.0,12.5,26.6,46.0,53.0,51,小毛毛雨
G3726,万州北,2026-07-27,17:40,2026-07-27,17:44,,1469.0,37.5,29.3,0.1,0.1,0.0,1.0,13.0,32.4,34.0,49.0,51,小毛毛雨
G3726,云阳,2026-07-27,17:57,2026-07-27,17:59,0.0,1507.0,32.6,27.9,0.0,0.0,0.0,0.0,16.0,32.8,99.0,77.0,3,阴
G3726,巫山,2026-07-27,18:33,,,1.0,1622.0,37.7,27.3,0.4,0.4,0.0,4.0,11.7,27.7,43.0,53.0,51,小毛毛雨
G1,北京南,2026-07-27,06:30,2026-07-27,06:30,0.0,0.0,32.6,24.9,0.8,0.8,0.0,4.0,12.0,31.7,17.0,75.0,51,小毛毛雨
G1,沧州西,2026-07-27,07:18,2026-07-27,07:20,0.0,210.0,32.5,24.1,3.9,3.9,0.0,7.0,14.4,31.3,28.0,83.0,61,小雨
G1,德州东,2026-07-27,07:45,2026-07-27,07:47,-1.0,314.0,32.5,24.7,2.3,2.3,0.0,5.0,12.2,30.2,17.0,78.0,61,小雨
G1,曲阜东,2026-07-27,08:34,2026-07-27,08:36,,527.0,30.2,25.2,3.9,3.9,0.0,7.0,13.1,30.2,79.0,89.0,61,小雨
G1,南京南,2026-07-27,10:13,2026-07-27,10:15,0.0,1015.0,32.7,28.0,0.5,0.5,0.0,2.0,12.5,25.6,99.0,79.0,51,小毛毛雨
G1,苏州北,2026-07-27,10:59,2026-07-27,11:01,1.0,1229.0,34.3,28.2,0.0,0.0,0.0,0.0,15.7,37.1,100.0,69.0,3,阴
G1,上海虹桥,2026-07-27,11:24,,,0.0,1310.0,35.4,28.9,0.0,0.0,0.0,0.0,16.0,43.2,99.0,65.0,3,阴
D1,北京西,2026-07-27,17:58,2026-07-27,17:58,0.0,0.0,32.6,24.9,0.8,0.8,0.0,4.0,12.0,31.7,17.0,75.0,51,小毛毛雨
D1,石家庄,2026-07-27,20:24,2026-07-27,20:30,0.0,281.0,33.1,25.1,2.0,2.0,0.0,7.0,12.5,36.0,22.0,75.0,53,毛毛雨
D1,郑州,2026-07-27,23:59,2026-07-28,00:05,-1.0,707.0,30.6,24.1,9.0,9.0,0.0,15.0,11.0,31.3,79.0,88.0,63,中雨
D1,武昌,2026-07-28,04:44,2026-07-28,04:50,-14.0,1243.0,24.8,22.6,20.8,20.8,0.0,18.0,8.2,32.4,100.0,96.0,63,中雨
D1,岳阳,2026-07-28,06:47,2026-07-28,06:51,-1.0,1458.0,30.7,25.3,17.6,17.6,0.0,17.0,17.1,39.6,88.0,87.0,65,大雨
D1,长沙,2026-07-28,08:16,,,-9.0,1605.0,30.9,24.9,9.1,9.1,0.0,13.0,14.1,37.8,87.0,86.0,63,中雨
