车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-07-25,14:04,2026-07-25,14:04,0.0,0.0,36.8,28.5,0.0,0.0,0.0,0.0,17.3,42.8,15.0,67.0,2,多云
G80,南京南,2026-07-25,15:05,2026-07-25,15:10,9.0,295.0,35.3,26.3,0.1,0.1,0.0,1.0,8.9,21.6,14.0,75.0,51,小毛毛雨
G81,徐州东,2026-07-25,16:19,2026-07-25,16:21,,626.0,32.3,23.6,11.5,11.5,0.0,8.0,11.6,26.3,21.0,81.0,63,中雨
G81,商丘,2026-07-25,17:05,2026-07-25,17:07,3.0,796.0,32.2,22.9,9.6,9.6,0.0,11.0,8.4,28.1,65.0,81.0,61,小雨
G81,开封北,2026-07-25,17:41,2026-07-25,17:43,3.0,934.0,30.5,22.6,9.3,9.3,0.0,15.0,11.4,25.2,66.0,84.0,61,小雨
G81,郑州东,2026-07-25,18:04,,,3.0,986.0,30.0,22.4,11.3,11.3,0.0,12.0,10.5,25.2,73.0,85.0,63,中雨
G3726,广州,2026-07-25,08:42,2026-07-25,08:42,0.0,0.0,35.6,26.7,6.7,6.7,0.0,8.0,17.4,41.0,83.0,75.0,63,中雨
G3726,佛山西,2026-07-25,09:04,2026-07-25,09:16,0.0,26.0,35.0,26.4,7.0,7.0,0.0,9.0,17.7,47.2,82.0,78.0,63,中雨
G3726,肇庆东,2026-07-25,09:35,2026-07-25,09:37,0.0,69.0,35.8,25.1,10.5,10.5,0.0,5.0,11.2,48.6,73.0,77.0,63,中雨
G3726,贺州,2026-07-25,10:24,2026-07-25,10:26,0.0,254.0,35.1,25.3,0.4,0.4,0.0,1.0,10.0,23.4,38.0,77.0,51,小毛毛雨
G3726,阳朔,2026-07-25,10:58,2026-07-25,11:04,0.0,372.0,35.2,24.8,0.0,0.0,0.0,0.0,7.2,21.2,24.0,72.0,3,阴
G3726,桂林西,2026-07-25,11:24,2026-07-25,11:28,0.0,437.0,34.7,24.3,0.0,0.0,0.0,0.0,7.3,14.4,27.0,76.0,3,阴
G3726,都匀东,2026-07-25,12:43,2026-07-25,12:48,,734.0,32.8,22.9,0.0,0.0,0.0,0.0,6.3,16.6,38.0,78.0,3,阴
G3726,贵阳东,2026-07-25,13:23,2026-07-25,13:31,0.0,850.0,28.5,19.8,0.8,0.8,0.0,5.0,14.1,32.4,90.0,80.0,51,小毛毛雨
G3726,遵义,2026-07-25,14:18,2026-07-25,14:20,0.0,973.0,29.3,22.6,1.5,1.5,0.0,8.0,13.7,28.1,94.0,72.0,53,毛毛雨
G3726,娄山关南,2026-07-25,14:34,2026-07-25,14:36,0.0,1003.0,27.9,22.5,3.0,3.0,0.0,9.0,17.9,39.6,90.0,76.0,53,毛毛雨
G3726,重庆西,2026-07-25,15:43,2026-07-25,15:52,0.0,1194.0,39.5,30.1,0.0,0.0,0.0,0.0,15.9,41.4,11.0,41.0,1,晴间多云
G3726,重庆北,2026-07-25,16:17,2026-07-25,16:22,0.0,1224.0,39.5,30.1,0.0,0.0,0.0,0.0,15.9,41.4,11.0,41.0,1,晴间多云
G3726,梁平南,2026-07-25,17:14,2026-07-25,17:19,0.0,1404.0,34.6,25.2,0.0,0.0,0.0,0.0,10.0,20.9,7.0,66.0,1,晴间多云
G3726,万州北,2026-07-25,17:40,2026-07-25,17:44,,1469.0,37.8,28.1,0.1,0.1,0.0,1.0,8.9,26.3,9.0,58.0,51,小毛毛雨
G3726,云阳,2026-07-25,17:57,2026-07-25,17:59,0.0,1507.0,34.8,27.1,0.0,0.0,0.0,0.0,12.1,24.1,17.0,77.0,2,多云
G3726,巫山,2026-07-25,18:33,,,0.0,1622.0,37.2,26.3,0.3,0.3,0.0,2.0,8.4,19.1,8.0,63.0,51,小毛毛雨
G1,北京南,2026-07-25,06:30,2026-07-25,06:30,0.0,0.0,30.7,24.1,1.1,1.1,0.0,7.0,8.2,23.8,66.0,81.0,51,小毛毛雨
G1,沧州西,2026-07-25,07:18,2026-07-25,07:20,0.0,210.0,29.1,23.4,2.8,2.8,0.0,9.0,10.0,25.9,53.0,88.0,53,毛毛雨
G1,德州东,2026-07-25,07:45,2026-07-25,07:47,-1.0,314.0,30.5,23.6,6.1,6.1,0.0,9.0,9.1,26.3,36.0,85.0,63,中雨
G1,曲阜东,2026-07-25,08:34,2026-07-25,08:36,,527.0,30.8,22.9,3.2,3.2,0.0,13.0,12.0,35.3,35.0,86.0,53,毛毛雨
G1,南京南,2026-07-25,10:13,2026-07-25,10:15,-1.0,1015.0,35.3,26.3,0.1,0.1,0.0,1.0,8.9,21.6,14.0,75.0,51,小毛毛雨
G1,苏州北,2026-07-25,10:59,2026-07-25,11:01,1.0,1229.0,35.2,27.9,0.0,0.0,0.0,0.0,16.5,36.7,13.0,71.0,2,多云
G1,上海虹桥,2026-07-25,11:24,,,-2.0,1310.0,36.8,28.5,0.0,0.0,0.0,0.0,17.3,42.8,15.0,67.0,2,多云
D1,北京西,2026-07-25,17:58,2026-07-25,17:58,0.0,0.0,30.7,24.1,1.1,1.1,0.0,7.0,8.2,23.8,66.0,81.0,51,小毛毛雨
D1,石家庄,2026-07-25,20:24,2026-07-25,20:30,0.0,281.0,31.7,23.5,2.4,2.4,0.0,7.0,8.8,26.6,52.0,77.0,61,小雨
D1,郑州,2026-07-25,23:59,2026-07-26,00:05,5.0,707.0,30.0,22.4,11.3,11.3,0.0,12.0,10.5,25.2,73.0,85.0,63,中雨
D1,武昌,2026-07-26,04:44,2026-07-26,04:50,-15.0,1243.0,26.6,22.5,9.3,9.3,0.0,15.0,13.2,30.6,97.0,90.0,55,浓毛毛雨
