车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-08-07,14:04,2026-08-07,14:04,0.0,0.0,35.2,28.5,0.5,0.5,0.0,2.0,21.2,51.5,22.0,65.0,51,小毛毛雨
G80,南京南,2026-08-07,15:05,2026-08-07,15:10,-4.0,295.0,34.8,27.8,3.4,3.4,0.0,7.0,17.6,43.6,17.0,69.0,53,毛毛雨
G81,徐州东,2026-08-07,16:19,2026-08-07,16:21,,626.0,35.8,27.5,2.7,2.7,0.0,8.0,13.0,36.0,12.0,63.0,55,浓毛毛雨
G81,商丘,2026-08-07,17:05,2026-08-07,17:07,0.0,796.0,36.2,27.4,1.5,1.5,0.0,5.0,15.3,36.4,11.0,63.0,53,毛毛雨
G81,开封北,2026-08-07,17:41,2026-08-07,17:43,1.0,934.0,33.9,26.0,0.0,0.0,0.0,0.0,12.4,30.6,3.0,74.0,0,晴
G81,郑州东,2026-08-07,18:04,,,0.0,986.0,33.8,26.1,0.0,0.0,0.0,0.0,9.7,25.9,8.0,73.0,1,晴间多云
G3726,广州,2026-08-07,08:42,2026-08-07,08:42,0.0,0.0,34.0,26.0,0.5,0.5,0.0,3.0,8.3,24.8,25.0,74.0,51,小毛毛雨
G3726,佛山西,2026-08-07,09:04,2026-08-07,09:16,0.0,26.0,34.8,25.9,0.3,0.3,0.0,2.0,9.1,24.5,16.0,75.0,51,小毛毛雨
G3726,肇庆东,2026-08-07,09:35,2026-08-07,09:37,0.0,69.0,34.8,25.0,0.9,0.9,0.0,6.0,5.2,17.3,22.0,75.0,51,小毛毛雨
G3726,贺州,2026-08-07,10:24,2026-08-07,10:26,0.0,254.0,34.6,25.7,8.8,8.8,0.0,10.0,6.7,23.8,35.0,83.0,61,小雨
G3726,阳朔,2026-08-07,10:58,2026-08-07,11:04,0.0,372.0,34.0,25.8,1.9,1.9,0.0,7.0,12.9,30.2,16.0,76.0,55,浓毛毛雨
G3726,桂林西,2026-08-07,11:24,2026-08-07,11:28,2.0,437.0,35.0,26.4,0.0,0.0,0.0,0.0,13.0,32.8,16.0,66.0,2,多云
G3726,都匀东,2026-08-07,12:43,2026-08-07,12:48,,734.0,31.3,22.6,2.1,2.1,0.0,6.0,12.0,29.5,12.0,82.0,61,小雨
G3726,贵阳东,2026-08-07,13:23,2026-08-07,13:31,0.0,850.0,26.6,19.6,5.5,5.5,0.0,16.0,10.1,28.4,88.0,86.0,55,浓毛毛雨
G3726,遵义,2026-08-07,14:18,2026-08-07,14:20,0.0,973.0,27.0,21.5,9.3,9.3,0.0,18.0,8.9,23.0,97.0,90.0,61,小雨
G3726,娄山关南,2026-08-07,14:34,2026-08-07,14:36,0.0,1003.0,26.2,20.8,9.5,9.5,0.0,20.0,4.0,17.6,98.0,93.0,63,中雨
G3726,重庆西,2026-08-07,15:43,2026-08-07,15:52,0.0,1194.0,30.6,24.0,20.4,20.4,0.0,20.0,5.9,22.3,73.0,83.0,63,中雨
G3726,重庆北,2026-08-07,16:17,2026-08-07,16:22,0.0,1224.0,30.6,24.0,20.4,20.4,0.0,20.0,5.9,22.3,73.0,83.0,63,中雨
G3726,梁平南,2026-08-07,17:14,2026-08-07,17:19,0.0,1404.0,28.9,23.1,5.0,5.0,0.0,14.0,8.6,17.6,76.0,87.0,61,小雨
G3726,万州北,2026-08-07,17:40,2026-08-07,17:44,,1469.0,31.3,25.6,5.0,5.0,0.0,12.0,6.6,20.9,80.0,86.0,61,小雨
G3726,云阳,2026-08-07,17:57,2026-08-07,17:59,1.0,1507.0,33.6,26.8,2.4,2.4,0.0,7.0,17.3,35.6,14.0,73.0,53,毛毛雨
G3726,巫山,2026-08-07,18:33,,,0.0,1622.0,31.1,24.9,2.5,2.5,0.0,10.0,6.6,19.8,78.0,88.0,51,小毛毛雨
G1,北京南,2026-08-07,06:30,2026-08-07,06:30,0.0,0.0,37.4,26.5,10.1,10.1,0.0,11.0,16.6,40.3,34.0,66.0,63,中雨
G1,沧州西,2026-08-07,07:18,2026-08-07,07:20,0.0,210.0,35.6,27.0,0.1,0.1,0.0,1.0,20.9,43.2,6.0,74.0,51,小毛毛雨
G1,德州东,2026-08-07,07:45,2026-08-07,07:47,-2.0,314.0,36.1,27.0,0.7,0.7,0.0,2.0,19.7,40.0,7.0,70.0,53,毛毛雨
G1,曲阜东,2026-08-07,08:34,2026-08-07,08:36,,527.0,35.2,25.7,0.0,0.0,0.0,0.0,14.3,29.2,5.0,70.0,1,晴间多云
G1,南京南,2026-08-07,10:13,2026-08-07,10:15,0.0,1015.0,34.8,27.8,3.4,3.4,0.0,7.0,17.6,43.6,17.0,69.0,53,毛毛雨
G1,苏州北,2026-08-07,10:59,2026-08-07,11:01,0.0,1229.0,35.2,27.1,0.6,0.6,0.0,6.0,21.0,50.4,9.0,69.0,51,小毛毛雨
G1,上海虹桥,2026-08-07,11:24,,,-1.0,1310.0,35.2,28.5,0.5,0.5,0.0,2.0,21.2,51.5,22.0,65.0,51,小毛毛雨
D1,北京西,2026-08-07,17:58,2026-08-07,17:58,0.0,0.0,37.4,26.5,10.1,10.1,0.0,11.0,16.6,40.3,34.0,66.0,63,中雨
D1,石家庄,2026-08-07,20:24,2026-08-07,20:30,-1.0,281.0,36.5,24.8,15.8,15.8,0.0,3.0,15.6,40.7,38.0,68.0,65,大雨
D1,郑州,2026-08-07,23:59,2026-08-08,00:05,-5.0,707.0,33.8,26.1,0.0,0.0,0.0,0.0,9.7,25.9,8.0,73.0,1,晴间多云
D1,武昌,2026-08-08,04:44,2026-08-08,04:50,-12.0,1243.0,33.4,25.2,0.3,0.3,0.0,3.0,19.9,43.6,15.0,71.0,51,小毛毛雨
D1,岳阳,2026-08-08,06:47,2026-08-08,06:51,-9.0,1458.0,33.2,27.2,0.8,0.8,0.0,5.0,18.7,41.0,8.0,77.0,51,小毛毛雨
D1,长沙,2026-08-08,08:16,,,-8.0,1605.0,34.4,26.0,4.3,4.3,0.0,9.0,15.7,39.6,27.0,76.0,61,小雨
