车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-09-17,14:04,2026-09-17,14:04,0.0,0,29.7,22.3,0.6,0.6,0.0,3.0,12.1,31.7,85.0,56.0,51,小毛毛雨
G80,南京南,2026-09-17,15:05,2026-09-17,15:10,-3.0,295,26.3,21.2,7.9,7.9,0.0,10.0,9.3,23.0,99.0,75.0,61,小雨
G81,徐州东,2026-09-17,16:19,2026-09-17,16:21,,626,28.4,21.3,0.0,0.0,0.0,0.0,7.0,21.6,80.0,60.0,3,阴
G81,商丘,2026-09-17,17:05,2026-09-17,17:07,-1.0,796,26.6,20.8,0.0,0.0,0.0,0.0,8.9,18.0,79.0,55.0,3,阴
G81,开封北,2026-09-17,17:41,2026-09-17,17:43,0.0,934,27.0,19.9,0.0,0.0,0.0,0.0,11.6,26.6,45.0,52.0,3,阴
G81,郑州东,2026-09-17,18:04,,,-3.0,986,26.6,20.1,0.0,0.0,0.0,0.0,11.6,34.6,45.0,52.0,3,阴
G3726,广州,2026-09-17,08:42,2026-09-17,08:42,0.0,0,32.1,25.0,0.7,0.7,0.0,6.0,8.1,16.6,27.0,75.0,51,小毛毛雨
G3726,佛山西,2026-09-17,09:04,2026-09-17,09:16,0.0,26,32.6,25.2,0.6,0.6,0.0,5.0,9.2,18.7,21.0,76.0,51,小毛毛雨
G3726,肇庆东,2026-09-17,09:35,2026-09-17,09:37,0.0,69,31.9,24.2,0.0,0.0,0.0,0.0,6.6,19.8,31.0,78.0,3,阴
G3726,贺州,2026-09-17,10:24,2026-09-17,10:26,0.0,254,31.8,23.9,3.2,3.2,0.0,15.0,5.6,16.2,42.0,83.0,53,毛毛雨
G3726,阳朔,2026-09-17,10:58,2026-09-17,11:04,2.0,372,32.0,23.6,1.6,1.6,0.0,12.0,5.9,19.1,58.0,83.0,51,小毛毛雨
G3726,桂林西,2026-09-17,11:24,2026-09-17,11:28,1.0,437,31.6,23.4,4.4,4.4,0.0,11.0,7.4,27.7,48.0,78.0,53,毛毛雨
G3726,都匀东,2026-09-17,12:43,2026-09-17,12:48,,734,30.2,21.0,5.1,5.1,0.0,12.0,9.0,17.3,55.0,88.0,55,浓毛毛雨
G3726,贵阳东,2026-09-17,13:23,2026-09-17,13:31,0.0,850,28.1,18.4,4.9,4.9,0.0,15.0,16.6,38.2,66.0,74.0,55,浓毛毛雨
G3726,遵义,2026-09-17,14:18,2026-09-17,14:20,0.0,973,26.6,19.5,5.8,5.8,0.0,12.0,8.3,25.2,69.0,82.0,61,小雨
G3726,娄山关南,2026-09-17,14:34,2026-09-17,14:36,0.0,1003,24.5,18.4,10.3,10.3,0.0,10.0,8.1,25.2,79.0,86.0,63,中雨
G3726,重庆西,2026-09-17,15:43,2026-09-17,15:52,0.0,1194,24.3,20.2,6.5,6.5,0.0,13.0,5.1,15.1,82.0,87.0,61,小雨
G3726,重庆北,2026-09-17,16:17,2026-09-17,16:22,-3.0,1224,24.3,20.2,6.5,6.5,0.0,13.0,5.1,15.1,82.0,87.0,61,小雨
G3726,梁平南,2026-09-17,17:14,2026-09-17,17:19,0.0,1404,22.1,18.4,4.9,4.9,0.0,12.0,6.7,13.7,93.0,92.0,55,浓毛毛雨
G3726,万州北,2026-09-17,17:40,2026-09-17,17:44,,1469,23.1,20.8,5.2,5.2,0.0,16.0,4.6,12.6,95.0,93.0,55,浓毛毛雨
G3726,云阳,2026-09-17,17:57,2026-09-17,17:59,0.0,1507,24.8,21.0,7.0,7.0,0.0,8.0,10.7,23.0,96.0,82.0,61,小雨
G3726,巫山,2026-09-17,18:33,,,0.0,1622,23.8,19.7,2.9,2.9,0.0,13.0,4.2,9.7,90.0,94.0,53,毛毛雨
G1,北京南,2026-09-17,06:30,2026-09-17,06:30,0.0,0,31.1,20.5,0.0,0.0,0.0,0.0,10.0,32.8,32.0,57.0,3,阴
G1,沧州西,2026-09-17,07:18,2026-09-17,07:20,0.0,210,31.5,19.8,0.0,0.0,0.0,0.0,12.9,23.4,55.0,56.0,3,阴
G1,德州东,2026-09-17,07:45,2026-09-17,07:47,0.0,314,31.8,22.3,0.0,0.0,0.0,0.0,10.2,22.0,50.0,42.0,3,阴
G1,曲阜东,2026-09-17,08:34,2026-09-17,08:36,,527,31.0,20.6,0.1,0.1,0.0,1.0,8.9,24.8,49.0,47.0,51,小毛毛雨
G1,南京南,2026-09-17,10:13,2026-09-17,10:15,1.0,1015,26.3,21.2,7.9,7.9,0.0,10.0,9.3,23.0,99.0,75.0,61,小雨
G1,苏州北,2026-09-17,10:59,2026-09-17,11:01,1.0,1229,30.0,21.1,0.2,0.2,0.0,2.0,9.3,28.4,84.0,61.0,51,小毛毛雨
G1,上海虹桥,2026-09-17,11:24,,,-1.0,1310,29.7,22.3,0.6,0.6,0.0,3.0,12.1,31.7,85.0,56.0,51,小毛毛雨
D1,北京西,2026-09-17,17:58,2026-09-17,17:58,0.0,0,31.1,20.5,0.0,0.0,0.0,0.0,10.0,32.8,32.0,57.0,3,阴
D1,石家庄,2026-09-17,20:24,2026-09-17,20:30,1.0,281,29.9,17.2,0.0,0.0,0.0,0.0,10.4,27.0,40.0,67.0,3,阴
D1,郑州,2026-09-17,23:59,2026-09-18,00:05,0.0,707,26.6,20.1,0.0,0.0,0.0,0.0,11.6,34.6,45.0,52.0,3,阴
D1,武昌,2026-09-18,04:44,2026-09-18,04:50,-1.0,1243,32.2,20.5,0.5,0.5,0.0,3.0,12.3,24.1,36.0,73.0,51,小毛毛雨
D1,岳阳,2026-09-18,06:47,2026-09-18,06:51,5.0,1458,23.5,19.6,0.6,0.6,0.0,4.0,10.9,24.5,92.0,83.0,51,小毛毛雨
D1,长沙,2026-09-18,08:16,,,4.0,1605,25.4,21.2,0.0,0.0,0.0,0.0,11.5,27.7,92.0,77.0,3,阴
