车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G80,上海虹桥,2026-09-15,14:04,2026-09-15,14:04,0.0,0,30.1,22.5,0.0,0.0,0.0,0.0,14.2,39.6,61.0,49.0,3,阴
G80,南京南,2026-09-15,15:05,2026-09-15,15:10,-3.0,295,27.3,19.6,0.0,0.0,0.0,0.0,8.8,25.9,70.0,64.0,3,阴
G81,徐州东,2026-09-15,16:19,2026-09-15,16:21,,626,30.8,18.4,0.0,0.0,0.0,0.0,10.9,31.0,53.0,48.0,3,阴
G81,商丘,2026-09-15,17:05,2026-09-15,17:07,0.0,796,31.1,19.1,0.0,0.0,0.0,0.0,14.3,33.8,29.0,54.0,3,阴
G81,开封北,2026-09-15,17:41,2026-09-15,17:43,-1.0,934,31.4,19.0,0.0,0.0,0.0,0.0,14.4,36.7,17.0,49.0,3,阴
G81,郑州东,2026-09-15,18:04,,,-3.0,986,32.4,19.9,0.0,0.0,0.0,0.0,14.1,37.1,26.0,47.0,3,阴
G3726,广州,2026-09-15,08:42,2026-09-15,08:42,0.0,0,31.3,24.3,10.5,10.5,0.0,16.0,10.4,27.7,62.0,86.0,61,小雨
G3726,佛山西,2026-09-15,09:04,2026-09-15,09:16,0.0,26,30.9,24.7,15.8,15.8,0.0,19.0,12.1,31.3,58.0,87.0,63,中雨
G3726,肇庆东,2026-09-15,09:35,2026-09-15,09:37,-1.0,69,32.0,24.9,12.9,12.9,0.0,10.0,10.7,26.3,49.0,87.0,63,中雨
G3726,贺州,2026-09-15,10:24,2026-09-15,10:26,0.0,254,31.5,22.2,0.0,0.0,0.0,0.0,7.8,22.3,36.0,80.0,3,阴
G3726,阳朔,2026-09-15,10:58,2026-09-15,11:04,2.0,372,31.9,23.4,0.2,0.2,0.0,2.0,11.7,29.9,37.0,68.0,51,小毛毛雨
